seq,t_ms,control_ms,send_ms,base_speed,n0,n1,n2,n3,n4,n5,n6,n7,position,error,d_error,left_cmd,right_cmd,on_line,is_marker,distance_ticks,left_speed,right_speed,dl,dr,heading_ticks,udp_loop_ms,udp_send_cost_ms,udp_overrun
12,283,10,20,1000,44,12,66,762,908,659,35,74,3955,455,-130,1000,791,1,0,0,0,0,0,0,0,3,1,0
13,303,10,20,1000,154,160,157,729,943,730,105,177,3788,288,-209,1000,895,1,0,0,0,0,0,0,0,3,1,0
14,323,10,20,1000,97,64,132,826,954,467,65,71,3738,238,-30,1000,883,1,0,0,0,0,0,0,0,3,1,0
15,343,10,20,1000,78,89,99,931,950,278,90,118,3868,368,116,1000,785,1,0,0,0,0,0,0,0,3,1,0
16,363,10,20,1000,9,55,47,923,926,144,55,87,3609,109,-59,1000,956,1,0,0,0,0,0,0,0,3,1,0
17,383,10,20,1000,128,89,124,938,940,153,70,96,3323,-177,-487,806,1000,1,0,0,0,0,0,0,0,3,1,0
18,403,10,20,1000,31,37,88,915,901,103,50,99,3576,76,-11,1000,963,1,0,0,0,0,0,0,0,3,1,0
19,423,10,20,1000,9,46,102,913,883,50,55,34,3411,-89,-64,941,1000,1,0,0,0,0,0,0,0,3,1,0
20,443,10,20,1000,56,43,171,887,908,121,100,77,3584,84,75,1000,941,1,0,0,0,0,0,0,0,3,1,0
21,463,10,20,1000,91,83,252,923,852,130,120,149,3748,248,232,1000,823,1,0,0,0,0,0,0,0,3,1,0
22,483,10,20,1000,53,15,257,905,883,88,45,118,3507,7,175,1000,960,1,0,0,0,0,0,0,0,3,1,0
23,503,10,20,1000,12,0,268,887,806,23,35,49,3274,-226,-4,882,1000,1,0,0,0,0,0,0,0,3,1,0
24,523,10,20,1000,132,80,313,890,897,97,100,127,3405,-95,-3,950,1000,1,0,0,0,0,0,0,0,3,1,0
25,543,10,20,1000,22,86,185,877,855,17,100,28,3480,-20,139,1000,982,1,0,0,0,0,0,0,0,4,1,0
26,563,10,20,1000,100,92,168,933,954,121,110,124,3619,119,310,1000,874,1,0,0,0,0,0,0,0,3,1,0
