seq,t_ms,control_ms,send_ms,current_speed,n0,n1,n2,n3,n4,n5,n6,n7,position,error,d_error,left_cmd,right_cmd,on_line,is_marker
0,23,10,20,495,921,955,944,951,952,952,984,937,3518,18,2,495,495,1,1
1,53,10,20,570,954,982,954,992,976,955,954,970,3497,-3,0,570,570,1,1
2,73,10,20,620,918,955,928,913,955,888,979,953,3519,19,1,620,620,1,1
3,93,10,20,670,839,811,685,931,962,550,517,488,3128,-372,-38,643,697,1,0
4,113,10,20,720,51,106,117,949,931,150,65,79,3400,-100,-16,704,736,1,0
5,133,10,20,770,42,64,104,944,928,132,75,19,3516,16,6,771,769,1,0
6,153,10,20,820,84,109,98,961,921,176,45,82,3486,-14,9,822,818,1,0
7,173,10,20,870,111,85,133,984,945,182,70,72,3357,-143,-9,861,879,1,0
8,193,10,20,920,117,103,157,992,962,258,65,59,3295,-205,-14,904,936,1,0
9,213,10,20,970,114,53,85,979,945,279,60,19,3501,1,7,971,969,1,0
11,253,10,20,850,90,88,130,882,989,538,115,138,4014,514,61,894,806,1,0
12,273,10,20,850,90,82,80,763,928,661,45,92,3956,456,55,920,780,1,0
13,293,10,20,850,78,85,69,730,935,729,75,49,3999,499,57,945,755,1,0
14,313,10,20,850,54,70,74,641,931,797,70,46,4065,565,46,985,715,1,0
15,333,10,20,850,9,64,61,674,942,785,80,46,4046,546,33,981,719,1,0
16,353,10,20,850,21,82,90,872,935,547,80,52,3861,361,0,915,785,1,0
17,373,10,20,850,51,61,66,926,959,261,55,75,3690,190,-26,869,831,1,0
18,393,10,20,900,30,100,72,951,897,108,60,46,3444,-56,-52,888,912,1,0
19,413,10,20,950,96,117,104,959,945,129,40,62,3383,-117,-53,938,962,1,0
20,433,10,20,850,244,112,130,982,1000,170,30,56,3096,-404,-70,809,891,1,0
21,453,10,20,875,105,79,128,959,959,117,35,105,3493,-7,-24,862,888,1,0
22,473,10,20,925,54,56,141,956,918,73,65,19,3385,-115,-12,919,931,1,0
23,493,10,20,975,93,88,205,913,925,141,105,59,3575,75,9,977,973,1,0
24,513,10,20,1000,60,73,200,898,914,111,75,52,3440,-60,-7,996,1000,1,0
25,533,10,20,1000,72,53,256,898,894,91,95,89,3311,-189,-15,987,1000,1,0
26,553,10,20,850,66,56,349,900,860,79,75,69,3242,-258,-25,822,878,1,0
27,573,10,20,850,69,58,450,890,826,73,70,42,3173,-327,-28,813,887,1,0
28,593,10,20,850,114,61,557,946,819,76,60,56,2967,-533,-44,768,932,1,0
29,613,10,20,850,87,32,682,959,744,58,0,26,3025,-475,-32,769,931,1,0
30,633,10,20,850,96,56,738,921,683,82,0,39,2976,-524,-33,721,979,1,0
31,653,10,20,850,60,67,680,979,761,91,40,69,3033,-467,-12,773,927,1,0
32,673,10,20,850,9,11,354,933,901,58,30,75,3250,-250,16,808,892,1,0
33,693,10,20,875,51,76,157,949,931,50,50,19,3379,-121,35,869,881,1,0
34,713,10,20,925,63,100,184,936,921,141,80,85,3358,-142,30,925,925,1,0
35,733,10,20,850,93,123,472,938,928,114,65,75,3170,-330,-1,825,875,1,0
36,753,10,20,850,84,129,952,936,670,79,85,42,2799,-701,-54,704,996,1,0
37,773,10,20,460,160,932,930,923,112,73,90,42,1965,-1535,-147,114,900,1,0
38,793,10,20,460,909,946,906,203,23,44,70,52,1135,-2365,-228,60,1000,1,0
39,813,10,20,460,912,949,736,40,68,23,10,23,932,-2568,-218,60,1000,1,0
40,833,10,20,460,927,911,170,71,47,61,35,72,623,-2877,-197,60,1000,1,0
41,853,10,20,460,939,764,114,71,61,79,70,75,545,-2955,-160,60,1000,1,0
42,873,10,20,460,939,457,74,35,68,50,10,95,327,-3173,-136,60,1000,1,0
43,903,10,20,460,930,486,112,86,112,138,95,102,1362,-2138,18,60,1000,1,0
44,923,10,20,460,954,790,93,68,64,70,35,59,452,-3048,-38,60,1000,1,0
45,943,10,20,460,912,929,77,33,68,44,50,69,504,-2996,-38,60,1000,1,0
46,963,10,20,460,948,929,373,83,57,91,65,72,744,-2756,-1,60,1000,1,0
47,983,10,20,460,888,952,896,68,44,64,30,19,1002,-2498,33,60,1000,1,0
48,1003,10,20,460,111,952,925,213,68,76,40,79,1563,-1937,91,60,941,1,0
49,1023,10,20,460,39,598,922,900,51,44,50,56,2124,-1376,162,158,900,1,0
50,1043,10,20,510,45,97,920,954,435,97,95,128,3011,-489,235,422,598,1,0
51,1063,10,20,560,54,79,208,964,952,126,95,99,3442,-58,257,630,490,1,0
52,1083,10,20,610,81,58,77,908,928,261,45,118,3867,367,240,743,477,1,0
53,1103,10,20,660,45,91,104,905,962,235,80,79,3601,101,153,746,574,1,0
54,1123,10,20,710,63,100,98,918,959,117,5,59,3474,-26,83,729,691,1,0
55,1153,10,20,785,69,82,301,964,925,38,45,62,3284,-216,19,782,788,1,0
56,1173,10,20,835,87,85,765,954,812,82,25,75,3018,-482,-28,769,901,1,0
57,1193,10,20,850,148,135,962,979,452,120,85,92,2648,-852,-75,658,1000,1,0
58,1223,10,20,700,154,144,941,987,200,129,70,141,2751,-749,-45,508,892,1,0
59,1243,10,20,700,111,73,960,938,149,94,60,59,2469,-1031,-59,461,939,1,0
60,1263,10,20,700,75,91,960,954,149,100,35,82,2717,-783,-18,510,890,1,0
61,1283,10,20,725,99,79,976,989,275,120,120,135,3167,-333,35,620,830,1,0
62,1303,10,20,775,48,91,826,941,636,144,50,85,3038,-462,31,678,872,1,0
63,1323,10,20,825,75,58,285,966,993,167,85,92,3432,-68,77,828,822,1,0
64,1353,10,20,850,54,41,109,956,948,135,125,161,3874,374,105,921,779,1,0
65,1373,10,20,850,75,100,136,994,952,176,125,174,3767,267,70,894,806,1,0
66,1393,10,20,850,60,103,114,966,965,158,115,148,3738,238,49,908,792,1,0
67,1413,10,20,850,63,91,93,977,965,191,100,148,3940,440,42,913,787,1,0
68,1433,10,20,850,45,70,109,961,921,202,105,132,3847,347,22,883,817,1,0
69,1453,10,20,900,75,82,152,979,952,197,75,171,3766,266,8,922,878,1,0
70,1473,10,20,950,84,88,218,951,982,173,100,118,3740,240,3,967,933,1,0
71,1493,10,20,1000,87,120,288,1000,948,194,120,155,3632,132,-7,1000,995,1,0
72,1514,10,20,1000,123,106,504,1000,921,167,130,171,3398,-102,-30,993,1000,1,0
73,1543,10,20,850,120,115,768,979,748,197,95,191,3175,-325,-46,816,884,1,0
74,1563,10,20,850,111,61,840,992,595,158,100,108,3161,-339,-37,815,885,1,0
