seq,t_ms,control_ms,send_ms,current_speed,n0,n1,n2,n3,n4,n5,n6,n7,position,error,d_error,left_cmd,right_cmd,on_line,is_marker
0,23,10,20,232,896,927,965,932,951,951,933,905,3504,4,0,180,180,1,1
1,44,10,20,240,887,933,970,945,954,954,943,915,3513,13,0,240,240,1,1
2,64,10,20,248,917,921,925,932,944,924,928,894,3492,-8,0,248,248,1,1
3,94,10,20,260,881,944,928,961,982,912,923,915,3507,7,0,260,260,1,1
4,114,10,20,268,908,883,931,909,916,918,969,922,3533,33,2,268,268,1,1
5,143,10,20,280,936,889,920,948,940,903,948,935,3515,15,0,280,280,1,1
6,164,10,20,288,914,915,933,940,916,939,928,915,3504,4,0,288,288,1,1
7,193,10,20,300,866,854,877,924,937,788,830,844,3461,-39,-1,300,300,1,1
8,214,10,20,308,261,261,456,911,877,148,164,169,3178,-322,-22,299,317,1,0
9,235,10,20,316,45,78,387,911,895,51,41,44,3231,-269,-26,285,347,1,0
10,255,10,20,324,51,55,347,906,919,51,20,0,3263,-237,-17,287,361,1,0
11,275,10,20,332,27,78,217,901,919,48,66,0,3344,-156,-7,300,364,1,0
12,295,10,20,340,45,43,183,932,926,69,133,13,3525,25,7,322,358,1,0
13,315,10,20,348,51,81,132,945,912,90,46,23,3392,-108,3,340,356,1,0
14,335,10,20,356,33,75,114,948,937,105,35,0,3490,-10,8,353,359,1,0
15,355,10,20,364,51,29,106,937,965,132,5,40,3524,24,12,363,365,1,0
16,375,10,20,372,69,87,100,922,944,84,35,27,3429,-71,6,372,372,1,0
17,395,10,20,380,94,133,135,966,937,105,15,20,3327,-173,-6,377,383,1,0
18,416,10,20,388,57,119,111,958,961,120,15,23,3375,-125,0,387,389,1,0
19,436,10,20,396,97,119,135,950,979,148,51,13,3386,-114,-5,388,404,1,0
20,456,10,20,404,97,61,103,953,954,135,35,0,3522,22,8,401,407,1,0
21,476,10,20,412,79,78,100,955,1000,175,0,0,3560,60,8,411,413,1,0
22,496,10,20,420,82,139,100,958,940,178,0,0,3396,-104,-1,420,420,1,0
23,516,10,20,428,48,104,214,958,954,259,10,6,3421,-79,3,428,428,1,0
24,536,10,20,436,91,78,132,917,996,362,15,0,3659,159,17,436,436,1,0
25,556,10,20,444,91,87,111,924,965,471,35,37,3726,226,20,450,438,1,0
26,576,10,20,452,106,81,66,831,944,552,20,0,3711,211,22,473,431,1,0
27,605,10,20,464,39,93,103,655,926,743,41,30,3951,451,35,521,407,1,0
28,626,10,20,413,66,110,61,650,912,773,71,61,3915,415,31,492,334,1,0
29,646,10,20,400,24,75,84,639,961,749,30,44,4046,546,30,494,306,1,0
30,666,10,20,404,33,101,100,756,933,661,46,30,3765,265,11,494,314,1,0
31,686,10,20,412,51,84,58,919,965,453,35,0,3800,300,3,484,340,1,0
32,706,10,20,420,79,63,82,914,933,220,20,0,3664,164,-10,468,372,1,0
33,726,10,20,428,54,101,106,940,937,138,15,0,3407,-93,-28,452,404,1,0
