seq,t_ms,control_ms,send_ms,base_speed,n0,n1,n2,n3,n4,n5,n6,n7,position,error,d_error,left_cmd,right_cmd,on_line,is_marker,distance_ticks,left_speed,right_speed,dl,dr,heading_ticks,udp_loop_ms,udp_send_cost_ms,udp_overrun
22,468,5,20,1000,27,18,212,875,898,48,58,61,3345,-155,-59,908,1000,1,0,0,0,0,0,0,0,3,1,0
23,489,5,20,1000,0,46,139,894,859,135,58,45,3488,-12,115,1000,983,1,0,0,0,0,0,0,0,3,1,0
24,509,5,20,1000,15,132,192,904,908,46,98,61,3211,-289,-305,786,1000,1,0,0,0,0,0,0,0,3,1,0
25,530,5,20,1000,80,92,178,919,887,46,73,74,3357,-143,-172,890,1000,1,0,0,0,0,0,0,0,3,1,0
26,550,5,20,1000,77,67,175,932,926,106,63,90,3450,-50,82,992,1000,1,0,0,0,0,0,0,0,3,1,0
27,570,5,20,1000,154,120,159,958,926,149,122,129,3458,-42,91,998,1000,1,0,0,0,0,0,0,0,3,1,0
28,590,5,20,1000,92,110,351,963,922,144,73,71,3256,-244,-49,863,1000,1,0,0,0,0,0,0,0,3,1,0
29,610,5,20,1000,52,95,885,930,550,103,58,58,2947,-553,-9,711,1000,1,0,0,0,0,0,0,0,3,1,0
30,630,5,20,1000,95,790,938,927,112,115,9,106,2413,-1087,-118,410,1000,1,0,0,0,0,0,0,0,3,1,0
31,650,5,20,830,863,938,952,666,91,54,58,106,1583,-1917,-232,-215,1000,1,0,0,0,0,0,0,0,3,1,0
32,670,5,20,680,913,993,969,328,17,66,49,97,1222,-2278,1,-420,1000,1,0,0,0,0,0,0,0,3,1,0
33,690,5,20,680,965,972,986,664,73,95,88,64,1376,-2124,-102,-250,1000,1,0,0,0,0,0,0,0,3,1,0
34,710,5,20,830,938,972,958,932,108,80,88,48,1564,-1936,60,-164,1000,1,0,0,0,0,0,0,0,3,1,0
35,730,5,20,830,866,975,935,961,315,92,49,100,1851,-1649,102,-6,1000,1,0,0,0,0,0,0,0,3,1,0
36,750,5,20,1000,195,972,930,989,908,135,98,129,2585,-915,248,577,1000,1,0,0,0,0,0,0,0,3,1,0
37,774,5,20,1000,136,707,955,1000,922,181,112,152,2868,-632,125,698,1000,1,0,0,0,0,0,0,0,3,1,0
38,795,5,20,1000,188,747,1000,1000,536,244,107,181,2752,-748,-45,602,1000,1,0,0,0,0,0,0,0,2,1,0
39,815,5,20,830,49,876,980,904,101,92,44,38,2080,-1420,-186,53,1000,1,0,0,0,0,0,0,0,3,1,0
40,839,5,20,830,108,910,946,914,87,86,78,80,1926,-1574,-169,-23,1000,1,0,0,0,0,0,0,0,3,1,0
41,862,5,20,830,43,329,921,891,73,86,63,29,2262,-1238,121,212,1000,1,0,0,0,0,0,0,0,6,1,1
42,882,5,20,1000,71,83,896,917,526,83,102,93,2973,-527,286,787,1000,1,0,0,0,0,0,0,0,3,1,0
43,902,5,20,1000,114,144,684,950,936,155,73,106,3115,-385,7,802,1000,1,0,0,0,0,0,0,0,3,1,0
44,922,5,20,1000,167,113,385,979,992,155,107,139,3351,-149,79,940,1000,1,0,0,0,0,0,0,0,3,1,0
45,942,5,20,1000,83,110,290,943,933,109,117,106,3542,42,150,1000,947,1,0,0,0,0,0,0,0,3,1,0
46,963,5,20,1000,61,89,463,961,898,135,112,100,3539,39,187,1000,941,1,0,0,0,0,0,0,0,3,1,0
47,983,5,20,1000,130,73,695,922,789,123,93,90,2981,-519,-83,713,1000,1,0,0,0,0,0,0,0,3,1,0
