seq,t_ms,control_ms,send_ms,current_speed,n0,n1,n2,n3,n4,n5,n6,n7,position,error,d_error,left_cmd,right_cmd,on_line,is_marker
0,23,10,20,495,930,940,942,937,961,975,921,938,3505,5,0,495,495,1,1
1,43,10,20,545,963,973,989,984,982,975,935,972,3489,-11,-1,545,545,1,1
2,63,10,20,595,912,940,934,929,944,942,975,904,3510,10,0,595,595,1,1
3,83,10,20,645,930,937,926,949,930,906,896,907,3469,-31,-3,645,645,1,1
4,103,10,20,695,189,189,146,901,940,114,118,68,3165,-335,-42,657,733,1,0
5,123,10,20,745,87,71,89,942,912,66,39,58,3491,-9,-2,735,755,1,0
6,143,10,20,795,114,121,135,964,926,120,34,44,3187,-313,-17,772,818,1,0
7,163,10,20,845,87,85,144,969,940,117,0,37,3474,-26,12,847,843,1,0
8,183,10,20,850,105,94,135,942,972,87,19,0,3242,-258,-18,824,876,1,0
9,203,10,20,850,108,68,144,969,989,75,19,0,3235,-265,-16,821,879,1,0
10,223,10,20,875,108,94,138,954,947,108,133,6,3460,-40,10,867,883,1,0
11,243,10,20,875,99,76,141,967,996,93,78,68,3406,-94,6,865,885,1,0
12,263,10,20,925,63,76,84,974,979,99,128,71,3654,154,33,932,918,1,0
13,283,10,20,975,93,73,95,957,982,102,68,17,3581,81,29,981,969,1,0
14,304,10,20,1000,66,59,84,944,930,84,39,0,3496,-4,15,1000,997,1,0
15,333,10,20,1000,87,97,70,982,954,114,64,10,3576,76,18,1000,996,1,0
16,353,10,20,1000,69,29,62,967,947,81,39,0,3494,-6,1,1000,1000,1,0
17,373,10,20,1000,90,91,108,982,930,169,59,13,3529,29,6,1000,999,1,0
18,393,10,20,1000,84,106,103,969,951,126,0,0,3393,-107,-9,994,1000,1,0
19,414,10,20,1000,138,139,97,947,954,220,34,27,3292,-208,-22,976,1000,1,0
20,434,10,20,1000,69,79,95,957,909,172,24,0,3614,114,16,1000,997,1,0
21,454,10,20,1000,90,79,111,924,982,184,54,0,3562,62,14,1000,997,1,0
22,474,10,20,1000,102,79,84,926,937,190,44,30,3469,-31,13,1000,997,1,0
23,494,10,20,1000,150,106,13,924,905,163,73,13,3253,-247,-12,991,1000,1,0
24,514,10,20,1000,9,14,0,874,912,105,44,30,3593,93,9,1000,998,1,0
25,534,10,20,1000,12,71,0,909,895,93,73,54,3496,-4,7,1000,999,1,0
26,554,10,20,1000,54,62,54,926,912,151,78,68,3610,110,16,1000,997,1,0
27,574,10,20,1000,0,8,0,906,898,108,0,20,3582,82,14,1000,994,1,0
28,594,10,20,1000,63,11,54,906,916,120,0,0,3595,95,5,1000,999,1,0
29,614,10,20,1000,111,53,86,957,937,193,14,6,3450,-50,-2,1000,1000,1,0
30,634,10,20,1000,12,0,16,889,881,108,4,0,3584,84,5,1000,999,1,0
31,654,10,20,1000,45,23,32,916,909,160,44,47,3619,119,12,1000,992,1,0
32,674,10,20,1000,75,94,48,916,926,166,64,30,3626,126,11,1000,989,1,0
33,694,10,20,1000,90,91,171,944,926,108,68,23,3451,-49,-17,996,1000,1,0
34,714,10,20,850,123,118,961,931,731,27,83,17,2708,-792,-95,695,1000,1,0
35,734,10,20,380,777,926,929,894,76,54,34,6,1550,-1950,-224,0,1000,1,0
36,754,10,20,380,960,943,885,120,55,30,24,0,1056,-2444,-263,0,1000,1,0
37,774,10,20,380,876,718,51,45,31,24,39,30,450,-3050,-274,0,1000,1,0
38,794,10,20,250,72,82,67,90,34,57,44,30,0,-3500,-241,250,900,0,0
39,814,10,20,250,51,29,70,123,52,69,39,51,0,-3500,-162,250,900,0,0
40,834,10,20,250,99,115,59,103,94,93,19,102,0,-3500,-108,250,900,0,0
41,854,10,20,250,99,82,92,156,90,108,49,82,0,-3500,-73,250,900,0,0
42,874,10,20,380,72,68,111,168,156,145,88,102,4089,589,427,1000,225,1,0
43,904,10,20,380,75,59,114,133,104,138,83,143,4325,825,335,1000,151,1,0
44,934,10,20,250,78,47,92,136,80,108,73,106,4325,825,185,900,250,0,0
45,954,10,20,250,60,65,100,141,76,99,78,109,4325,825,124,900,250,0,0
46,974,10,20,380,117,62,84,125,104,108,93,133,3853,353,82,1000,253,1,0
47,1004,10,20,250,69,47,65,95,66,90,54,71,3930,430,53,900,250,0,0
48,1024,10,20,250,54,65,62,95,38,87,39,41,3930,430,36,900,250,0,0
49,1044,10,20,250,57,68,43,95,87,78,59,61,3930,430,24,900,250,0,0
50,1064,10,20,250,90,65,76,88,62,90,54,51,3930,430,16,900,250,0,0
51,1084,10,20,250,39,38,40,75,24,36,59,6,3930,430,11,900,250,0,0
52,1104,10,20,250,78,65,43,98,48,27,24,0,3930,430,7,900,250,0,0
53,1124,10,20,250,39,71,95,75,59,75,54,17,3930,430,4,900,0,0,0
54,1144,10,20,250,30,41,62,98,59,54,54,0,3930,430,3,900,0,0,0
55,1174,10,20,250,105,100,92,110,59,96,64,37,3930,430,1,900,0,0,0
56,1194,10,20,250,69,76,46,55,41,48,73,30,3930,430,1,900,0,0,0
57,1215,10,20,250,39,68,32,85,66,69,34,23,3930,430,0,900,0,0,0
58,1236,10,20,250,147,35,29,30,34,84,4,75,3930,430,0,900,0,0,0
59,1256,10,20,250,81,50,10,78,41,69,34,44,3930,430,0,900,0,0,0
60,1276,10,20,250,63,71,122,60,69,102,73,92,3930,430,0,900,0,0,0
61,1306,10,20,250,75,97,62,128,62,75,44,89,3930,430,0,900,0,0,0
62,1326,10,20,250,72,100,95,123,69,108,83,99,3930,430,0,900,0,0,0
63,1356,10,20,275,144,56,73,120,121,151,34,133,3781,281,-15,322,228,1,0
64,1376,10,20,250,69,79,54,85,76,87,64,116,3781,281,-10,900,250,0,0
65,1396,10,20,250,84,59,84,88,80,135,78,109,3781,281,-6,900,250,0,0
66,1416,10,20,250,78,41,43,83,90,81,39,106,3781,281,-4,900,250,0,0
67,1436,10,20,250,72,44,70,57,48,78,9,13,3781,281,-3,900,250,0,0
68,1456,10,20,250,78,65,57,70,31,78,64,61,3781,281,-2,900,250,0,0
69,1476,10,20,250,30,65,24,55,55,87,34,13,3781,281,-1,900,250,0,0
70,1496,10,20,250,27,14,0,42,31,6,0,0,3781,281,0,900,0,0,0
71,1516,10,20,250,54,59,13,75,3,24,0,0,3781,281,0,900,0,0,0
72,1536,10,20,250,33,47,27,27,41,51,14,37,3781,281,0,900,0,0,0
73,1565,10,20,250,12,35,0,100,27,24,9,13,3781,281,0,900,0,0,0
74,1586,10,20,250,0,65,0,103,17,33,0,37,3781,281,0,900,0,0,0
75,1606,10,20,250,57,0,2,37,24,12,0,0,3781,281,0,900,0,0,0
76,1626,10,20,250,27,20,8,0,0,69,24,0,3781,281,0,900,0,0,0
77,1656,10,20,250,60,0,27,2,27,60,0,0,3781,281,0,900,0,0,0
78,1686,10,20,250,21,29,16,40,0,0,0,0,3781,281,0,900,0,0,0
