pc_time,sender,type,loop,drive,speed_state,target,current,compute_ms,max_ms,overrun,error,filtered_error,filtered_rate,confidence,active,wide,curve,kp,kd,p,d,steering,scale,left,right,finished,mode,control_ms,loops,average_compute_ms,max_compute_ms,overrun_count,overrun_rate,line_lost_entry,telemetry_sent,telemetry_skip,debug_skip,network_slow,raw_message
2026-07-09 11:06:17.168,192.168.0.50:60705,boot,,,,,,,,,,,,,,,,0.240,0.420,,,,,,,,HIGH_SPEED_CAPTURE,10,,,,,,,,,,,"type=boot,telemetry_ok=True,mode=HIGH_SPEED_CAPTURE,control_ms=10,base_speed=850,max_speed=1000,kp=0.240,kd=0.420,uturn_after=36000,uturn_speed=340,capture_speed=260,exit_speed=430"
2026-07-09 11:06:23.409,192.168.0.50:60705,start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,type=start
2026-07-09 11:06:23.535,192.168.0.50:60705,status,51,,,1000,1000,3,3,0,-292,-190.7,-19.1,0.58,2,,,0.240,0.420,,,-21,,979,1000,,FAST,,,,,,,,,,,,"type=status,loop=51,target=1000,current=1000,compute_ms=3,max_ms=3,overrun=0,error=-292,filtered_error=-190.7,filtered_rate=-19.1,confidence=0.58,active=2,kp=0.240,kd=0.420,steering=-21,left=979,right=1000,on_line=1,mode=FAST,uturn_enabled=0,reacquire=0"
2026-07-09 11:06:24.159,192.168.0.50:60705,status,101,,,850,485,3,20,1,-121,-335.6,207.5,0.55,2,,,0.240,0.420,,,21,,506,464,,FAST,,,,,,,,,,,,"type=status,loop=101,target=850,current=485,compute_ms=3,max_ms=20,overrun=1,error=-121,filtered_error=-335.6,filtered_rate=207.5,confidence=0.55,active=2,kp=0.240,kd=0.420,steering=21,left=506,right=464,on_line=1,mode=FAST,uturn_enabled=0,reacquire=0"
2026-07-09 11:06:24.549,192.168.0.50:60705,status,152,,,1000,1000,2,20,1,-238,-77.1,-32.4,0.68,2,,,0.240,0.420,,,-9,,991,1000,,FAST,,,,,,,,,,,,"type=status,loop=152,target=1000,current=1000,compute_ms=2,max_ms=20,overrun=1,error=-238,filtered_error=-77.1,filtered_rate=-32.4,confidence=0.68,active=2,kp=0.240,kd=0.420,steering=-9,left=991,right=1000,on_line=1,mode=FAST,uturn_enabled=0,reacquire=0"
2026-07-09 11:06:25.139,192.168.0.50:60705,status,201,,,460,460,3,21,2,1243,1201.9,52.1,0.71,3,,,0.240,0.420,,,295,,900,165,,HARD,,,,,,,,,,,,"type=status,loop=201,target=460,current=460,compute_ms=3,max_ms=21,overrun=2,error=1243,filtered_error=1201.9,filtered_rate=52.1,confidence=0.71,active=3,kp=0.240,kd=0.420,steering=295,left=900,right=165,on_line=1,mode=HARD,uturn_enabled=0,reacquire=0"
2026-07-09 11:06:25.512,192.168.0.50:60705,status,252,,,460,460,2,21,2,1587,1707.2,24.2,0.73,3,,,0.240,0.420,,,405,,900,60,,HARD,,,,,,,,,,,,"type=status,loop=252,target=460,current=460,compute_ms=2,max_ms=21,overrun=2,error=1587,filtered_error=1707.2,filtered_rate=24.2,confidence=0.73,active=3,kp=0.240,kd=0.420,steering=405,left=900,right=60,on_line=1,mode=HARD,uturn_enabled=0,reacquire=0"
2026-07-09 11:06:26.034,192.168.0.50:60705,status,301,,,700,620,2,21,3,1111,1225.6,-23.1,0.63,2,,,0.240,0.420,,,270,,890,350,,FAST,,,,,,,,,,,,"type=status,loop=301,target=700,current=620,compute_ms=2,max_ms=21,overrun=3,error=1111,filtered_error=1225.6,filtered_rate=-23.1,confidence=0.63,active=2,kp=0.240,kd=0.420,steering=270,left=890,right=350,on_line=1,mode=FAST,uturn_enabled=0,reacquire=0"
2026-07-09 11:06:26.569,192.168.0.50:60705,status,351,,,1000,925,3,21,3,100,126.0,-34.5,0.54,2,,,0.240,0.420,,,0,,925,925,,FAST,,,,,,,,,,,,"type=status,loop=351,target=1000,current=925,compute_ms=3,max_ms=21,overrun=3,error=100,filtered_error=126.0,filtered_rate=-34.5,confidence=0.54,active=2,kp=0.240,kd=0.420,steering=0,left=925,right=925,on_line=1,mode=FAST,uturn_enabled=0,reacquire=0"
2026-07-09 11:06:27.113,192.168.0.50:60705,status,400,,,1000,900,2,21,4,-324,-182.9,-66.8,0.70,3,,,0.240,0.420,,,-31,,869,931,,FAST,,,,,,,,,,,,"type=status,loop=400,target=1000,current=900,compute_ms=2,max_ms=21,overrun=4,error=-324,filtered_error=-182.9,filtered_rate=-66.8,confidence=0.70,active=3,kp=0.240,kd=0.420,steering=-31,left=869,right=931,on_line=1,mode=FAST,uturn_enabled=0,reacquire=0"
2026-07-09 11:06:27.703,192.168.0.50:60705,status,450,,,850,795,2,21,4,675,671.6,159.3,0.60,3,,,0.240,0.420,,,213,,1000,582,,FAST,,,,,,,,,,,,"type=status,loop=450,target=850,current=795,compute_ms=2,max_ms=21,overrun=4,error=675,filtered_error=671.6,filtered_rate=159.3,confidence=0.60,active=3,kp=0.240,kd=0.420,steering=213,left=1000,right=582,on_line=1,mode=FAST,uturn_enabled=0,reacquire=0"
2026-07-09 11:06:28.064,192.168.0.50:60705,status,499,,,1000,1000,2,21,5,-131,-91.1,-36.3,0.52,2,,,0.240,0.420,,,-12,,988,1000,,FAST,,,,,,,,,,,,"type=status,loop=499,target=1000,current=1000,compute_ms=2,max_ms=21,overrun=5,error=-131,filtered_error=-91.1,filtered_rate=-36.3,confidence=0.52,active=2,kp=0.240,kd=0.420,steering=-12,left=988,right=1000,on_line=1,mode=FAST,uturn_enabled=0,reacquire=0"
2026-07-09 11:06:28.571,192.168.0.50:60705,status,549,,,1000,875,3,21,5,162,200.0,-13.0,0.55,2,,,0.240,0.420,,,15,,890,860,,FAST,,,,,,,,,,,,"type=status,loop=549,target=1000,current=875,compute_ms=3,max_ms=21,overrun=5,error=162,filtered_error=200.0,filtered_rate=-13.0,confidence=0.55,active=2,kp=0.240,kd=0.420,steering=15,left=890,right=860,on_line=1,mode=FAST,uturn_enabled=0,reacquire=0"
2026-07-09 11:06:29.083,192.168.0.50:60705,status,598,,,850,850,3,21,6,-354,-297.6,-40.8,0.61,3,,,0.240,0.420,,,-40,,810,890,,FAST,,,,,,,,,,,,"type=status,loop=598,target=850,current=850,compute_ms=3,max_ms=21,overrun=6,error=-354,filtered_error=-297.6,filtered_rate=-40.8,confidence=0.61,active=3,kp=0.240,kd=0.420,steering=-40,left=810,right=890,on_line=1,mode=FAST,uturn_enabled=0,reacquire=0"
2026-07-09 11:06:29.602,192.168.0.50:60705,status,648,,,1000,1000,2,21,6,100,98.1,-10.7,0.57,2,,,0.240,0.420,,,2,,1000,998,,FAST,,,,,,,,,,,,"type=status,loop=648,target=1000,current=1000,compute_ms=2,max_ms=21,overrun=6,error=100,filtered_error=98.1,filtered_rate=-10.7,confidence=0.57,active=2,kp=0.240,kd=0.420,steering=2,left=1000,right=998,on_line=1,mode=FAST,uturn_enabled=0,reacquire=0"
2026-07-09 11:06:30.062,192.168.0.50:60705,status,697,,,850,850,3,21,7,-423,-420.0,-20.3,0.71,3,,,0.240,0.420,,,-71,,779,921,,FAST,,,,,,,,,,,,"type=status,loop=697,target=850,current=850,compute_ms=3,max_ms=21,overrun=7,error=-423,filtered_error=-420.0,filtered_rate=-20.3,confidence=0.71,active=3,kp=0.240,kd=0.420,steering=-71,left=779,right=921,on_line=1,mode=FAST,uturn_enabled=0,reacquire=0"
2026-07-09 11:06:31.052,192.168.0.50:60705,status,796,,,1000,1000,2,21,8,-9,20.5,-11.4,0.56,2,,,0.240,0.420,,,-2,,998,1000,,FAST,,,,,,,,,,,,"type=status,loop=796,target=1000,current=1000,compute_ms=2,max_ms=21,overrun=8,error=-9,filtered_error=20.5,filtered_rate=-11.4,confidence=0.56,active=2,kp=0.240,kd=0.420,steering=-2,left=998,right=1000,on_line=1,mode=FAST,uturn_enabled=0,reacquire=0"
2026-07-09 11:06:31.648,192.168.0.50:60705,status,846,,,1000,1000,3,21,8,109,109.7,7.1,0.54,2,,,0.240,0.420,,,8,,1000,992,,FAST,,,,,,,,,,,,"type=status,loop=846,target=1000,current=1000,compute_ms=3,max_ms=21,overrun=8,error=109,filtered_error=109.7,filtered_rate=7.1,confidence=0.54,active=2,kp=0.240,kd=0.420,steering=8,left=1000,right=992,on_line=1,mode=FAST,uturn_enabled=0,reacquire=0"
2026-07-09 11:06:32.068,192.168.0.50:60705,status,895,,,1000,1000,2,21,9,-11,-27.8,-0.2,0.56,2,,,0.240,0.420,,,0,,1000,1000,,FAST,,,,,,,,,,,,"type=status,loop=895,target=1000,current=1000,compute_ms=2,max_ms=21,overrun=9,error=-11,filtered_error=-27.8,filtered_rate=-0.2,confidence=0.56,active=2,kp=0.240,kd=0.420,steering=0,left=1000,right=1000,on_line=1,mode=FAST,uturn_enabled=0,reacquire=0"
2026-07-09 11:06:33.126,192.168.0.50:60705,status,995,,,1000,925,3,21,10,-113,-138.2,18.8,0.60,2,,,0.240,0.420,,,-5,,920,930,,FAST,,,,,,,,,,,,"type=status,loop=995,target=1000,current=925,compute_ms=3,max_ms=21,overrun=10,error=-113,filtered_error=-138.2,filtered_rate=18.8,confidence=0.60,active=2,kp=0.240,kd=0.420,steering=-5,left=920,right=930,on_line=1,mode=FAST,uturn_enabled=0,reacquire=0"
2026-07-09 11:06:33.636,192.168.0.50:60705,status,1045,,,1000,1000,3,21,10,-6,-5.9,0.4,0.55,2,,,0.240,0.420,,,0,,1000,1000,,FAST,,,,,,,,,,,,"type=status,loop=1045,target=1000,current=1000,compute_ms=3,max_ms=21,overrun=10,error=-6,filtered_error=-5.9,filtered_rate=0.4,confidence=0.55,active=2,kp=0.240,kd=0.420,steering=0,left=1000,right=1000,on_line=1,mode=FAST,uturn_enabled=0,reacquire=0"
2026-07-09 11:06:34.095,192.168.0.50:60705,status,1095,,,850,850,3,21,11,-510,-490.4,-16.5,0.67,3,,,0.240,0.420,,,-82,,768,932,,FAST,,,,,,,,,,,,"type=status,loop=1095,target=850,current=850,compute_ms=3,max_ms=21,overrun=11,error=-510,filtered_error=-490.4,filtered_rate=-16.5,confidence=0.67,active=3,kp=0.240,kd=0.420,steering=-82,left=768,right=932,on_line=1,mode=FAST,uturn_enabled=0,reacquire=0"
2026-07-09 11:06:34.603,192.168.0.50:60705,status,1145,,,850,485,3,21,11,-291,-545.7,258.8,0.61,2,,,0.240,0.420,,,-7,,478,492,,FAST,,,,,,,,,,,,"type=status,loop=1145,target=850,current=485,compute_ms=3,max_ms=21,overrun=11,error=-291,filtered_error=-545.7,filtered_rate=258.8,confidence=0.61,active=2,kp=0.240,kd=0.420,steering=-7,left=478,right=492,on_line=1,mode=FAST,uturn_enabled=0,reacquire=0"
2026-07-09 11:06:35.039,192.168.0.50:60705,status,1194,,,700,700,3,21,12,1434,1378.3,62.2,0.81,3,,,0.240,0.420,,,342,,1000,358,,FAST,,,,,,,,,,,,"type=status,loop=1194,target=700,current=700,compute_ms=3,max_ms=21,overrun=12,error=1434,filtered_error=1378.3,filtered_rate=62.2,confidence=0.81,active=3,kp=0.240,kd=0.420,steering=342,left=1000,right=358,on_line=1,mode=FAST,uturn_enabled=0,reacquire=0"
2026-07-09 11:06:35.590,192.168.0.50:60705,status,1245,,,1000,1000,3,21,12,-332,-185.0,-51.0,0.72,3,,,0.240,0.420,,,-28,,972,1000,,FAST,,,,,,,,,,,,"type=status,loop=1245,target=1000,current=1000,compute_ms=3,max_ms=21,overrun=12,error=-332,filtered_error=-185.0,filtered_rate=-51.0,confidence=0.72,active=3,kp=0.240,kd=0.420,steering=-28,left=972,right=1000,on_line=1,mode=FAST,uturn_enabled=0,reacquire=0"
2026-07-09 11:06:36.140,192.168.0.50:60705,status,1294,,,850,770,3,21,13,-598,-611.1,35.7,0.84,3,,,0.240,0.420,,,-117,,653,887,,FAST,,,,,,,,,,,,"type=status,loop=1294,target=850,current=770,compute_ms=3,max_ms=21,overrun=13,error=-598,filtered_error=-611.1,filtered_rate=35.7,confidence=0.84,active=3,kp=0.240,kd=0.420,steering=-117,left=653,right=887,on_line=1,mode=FAST,uturn_enabled=0,reacquire=0"
