pc_time,sender,type,loop,drive,speed_state,target,current,compute_ms,max_ms,overrun,error,filtered_error,filtered_rate,confidence,active,wide,curve,kp,kd,p,d,steering,scale,left,right,finished,mode,control_ms,loops,average_compute_ms,max_compute_ms,overrun_count,overrun_rate,line_lost_entry,raw_message
2026-07-08 20:35:36.142,192.168.0.50:49882,boot,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,"type=boot,control_ms=10,max_speed=580,kp_straight=0.200,kd_straight=0.850"
2026-07-08 20:35:39.560,192.168.0.50:49882,start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,type=start
2026-07-08 20:35:40.548,192.168.0.50:49882,status,98,0,FAST,580,580,20,22,2,-5,65.4,-11.9,0.49,2,False,0.038,0.200,0.850,0.0,-10.1,1,1.000,581,579,,,,,,,,,,"type=status,loop=98,drive=0,speed_state=FAST,target=580,current=580,compute_ms=20,max_ms=22,overrun=2,error=-5,filtered_error=65.4,filtered_rate=-11.9,confidence=0.49,active=2,wide=False,curve=0.038,kp=0.200,kd=0.850,p=0.0,d=-10.1,steering=1,scale=1.000,left=581,right=579"
2026-07-08 20:35:41.477,192.168.0.50:49882,status,197,0,FAST,580,450,21,22,3,-467,-520.0,17.3,0.71,3,False,0.163,0.200,0.850,-86.0,14.7,-106,1.000,344,556,,,,,,,,,,"type=status,loop=197,drive=0,speed_state=FAST,target=580,current=450,compute_ms=21,max_ms=22,overrun=3,error=-467,filtered_error=-520.0,filtered_rate=17.3,confidence=0.71,active=3,wide=False,curve=0.163,kp=0.200,kd=0.850,p=-86.0,d=14.7,steering=-106,scale=1.000,left=344,right=556"
2026-07-08 20:35:42.529,192.168.0.50:49882,status,296,0,FAST,580,580,21,22,4,53,50.8,10.0,0.54,2,False,0.024,0.200,0.850,0.0,8.5,5,1.000,585,575,,,,,,,,,,"type=status,loop=296,drive=0,speed_state=FAST,target=580,current=580,compute_ms=21,max_ms=22,overrun=4,error=53,filtered_error=50.8,filtered_rate=10.0,confidence=0.54,active=2,wide=False,curve=0.024,kp=0.200,kd=0.850,p=0.0,d=8.5,steering=5,scale=1.000,left=585,right=575"
2026-07-08 20:35:43.476,192.168.0.50:49882,status,395,0,FAST,580,495,21,22,5,659,634.6,16.6,0.79,3,False,0.188,0.200,0.850,108.9,14.1,105,1.000,600,390,,,,,,,,,,"type=status,loop=395,drive=0,speed_state=FAST,target=580,current=495,compute_ms=21,max_ms=22,overrun=5,error=659,filtered_error=634.6,filtered_rate=16.6,confidence=0.79,active=3,wide=False,curve=0.188,kp=0.200,kd=0.850,p=108.9,d=14.1,steering=105,scale=1.000,left=600,right=390"
2026-07-08 20:35:44.565,192.168.0.50:49882,status,494,0,FAST,580,435,21,22,6,172,333.8,-101.7,0.54,2,False,0.186,0.200,0.850,48.8,-86.4,81,1.000,516,345,,,,,,,,,,"type=status,loop=494,drive=0,speed_state=FAST,target=580,current=435,compute_ms=21,max_ms=22,overrun=6,error=172,filtered_error=333.8,filtered_rate=-101.7,confidence=0.54,active=2,wide=False,curve=0.186,kp=0.200,kd=0.850,p=48.8,d=-86.4,steering=81,scale=1.000,left=516,right=345"
2026-07-08 20:35:45.573,192.168.0.50:49882,status,593,0,FAST,580,580,21,22,8,10,1.9,-5.8,0.66,3,False,0.008,0.200,0.850,0.0,-4.9,-11,1.000,569,591,,,,,,,,,,"type=status,loop=593,drive=0,speed_state=FAST,target=580,current=580,compute_ms=21,max_ms=22,overrun=8,error=10,filtered_error=1.9,filtered_rate=-5.8,confidence=0.66,active=3,wide=False,curve=0.008,kp=0.200,kd=0.850,p=0.0,d=-4.9,steering=-11,scale=1.000,left=569,right=591"
2026-07-08 20:35:47.588,192.168.0.50:49882,status,791,0,FAST,580,580,21,22,10,38,-47.2,29.9,0.60,2,False,0.048,0.200,0.850,0.0,25.4,5,1.000,585,575,,,,,,,,,,"type=status,loop=791,drive=0,speed_state=FAST,target=580,current=580,compute_ms=21,max_ms=22,overrun=10,error=38,filtered_error=-47.2,filtered_rate=29.9,confidence=0.60,active=2,wide=False,curve=0.048,kp=0.200,kd=0.850,p=0.0,d=25.4,steering=5,scale=1.000,left=585,right=575"
2026-07-08 20:35:49.075,192.168.0.50:49882,status,890,0,FAST,580,580,21,22,11,90,49.2,6.4,0.55,2,False,0.025,0.200,0.850,0.0,5.4,1,1.000,581,579,,,,,,,,,,"type=status,loop=890,drive=0,speed_state=FAST,target=580,current=580,compute_ms=21,max_ms=22,overrun=11,error=90,filtered_error=49.2,filtered_rate=6.4,confidence=0.55,active=2,wide=False,curve=0.025,kp=0.200,kd=0.850,p=0.0,d=5.4,steering=1,scale=1.000,left=581,right=579"
