seq,t_ms,control_ms,send_ms,current_speed,n0,n1,n2,n3,n4,n5,n6,n7,position,error,d_error,left_cmd,right_cmd,on_line,is_marker
0,23,10,20,245,913,937,929,887,929,918,935,893,3490,-10,0,180,180,1,1
1,43,10,20,255,928,949,932,900,912,909,955,896,3482,-18,-1,255,255,1,1
2,63,10,20,265,916,952,964,960,942,918,940,927,3490,-10,-1,265,265,1,1
3,84,10,20,275,913,958,935,920,922,886,965,908,3490,-10,0,275,275,1,1
4,105,10,20,285,910,940,918,917,976,904,921,918,3498,-2,0,285,285,1,1
5,135,10,20,300,919,952,927,930,935,938,940,911,3494,-6,0,300,300,1,1
7,185,10,20,325,645,697,851,940,905,761,852,830,3636,136,8,325,325,1,1
8,214,10,20,340,2,26,656,905,631,31,54,44,2988,-512,-27,329,351,1,0
9,234,10,20,350,29,20,729,900,597,5,14,66,2940,-560,-48,297,403,1,0
10,254,10,20,360,56,8,745,887,618,34,29,69,2943,-557,-46,264,456,1,0
11,274,10,20,370,53,23,627,940,699,66,59,69,3031,-469,-32,264,476,1,0
12,294,10,20,380,98,59,459,917,875,98,83,69,3184,-316,-12,290,470,1,0
13,314,10,20,390,47,89,235,957,908,116,29,81,3408,-92,6,324,456,1,0
14,334,10,20,400,77,14,143,932,952,84,78,81,3399,-101,18,370,430,1,0
15,354,10,20,410,125,41,164,942,945,107,68,78,3271,-229,12,395,425,1,0
16,374,10,20,420,98,41,148,965,959,116,73,128,3671,171,30,413,427,1,0
17,394,10,20,430,92,62,124,982,932,151,34,103,3664,164,31,428,432,1,0
18,414,10,20,440,101,62,94,985,959,188,93,113,3632,132,24,440,440,1,0
19,434,10,20,450,136,59,72,982,952,273,49,135,3657,157,24,463,437,1,0
20,454,10,20,460,80,83,100,965,989,360,113,116,3912,412,39,501,419,1,0
21,474,10,20,470,80,68,129,935,945,383,118,150,3953,453,38,532,408,1,0
22,495,10,20,480,74,80,132,940,935,337,88,135,3813,313,26,552,408,1,0
23,515,10,20,490,104,56,124,947,956,296,78,135,3644,144,2,543,437,1,0
24,535,10,20,500,116,77,132,952,956,247,49,125,3581,81,-4,535,465,1,0
25,555,10,20,510,89,50,121,952,966,218,73,166,3802,302,8,549,471,1,0
26,575,10,20,520,71,86,137,962,959,186,64,182,3792,292,6,560,480,1,0
27,595,10,20,530,104,62,164,1000,986,209,108,150,3680,180,0,566,494,1,0
28,615,10,20,540,53,89,132,962,949,154,93,132,3709,209,0,575,505,1,0
29,635,10,20,550,41,86,75,952,932,119,24,94,3584,84,-9,574,526,1,0
30,655,10,20,560,65,74,100,970,972,101,83,122,3689,189,-3,581,539,1,0
31,675,10,20,570,77,62,121,950,949,127,59,122,3691,191,-4,588,552,1,0
32,704,10,20,580,119,104,151,1000,966,127,108,116,3480,-20,-26,585,575,1,0
33,724,10,20,580,89,77,135,1000,942,139,93,141,3699,199,-2,582,578,1,0
34,744,10,20,580,44,71,113,965,962,142,103,94,3631,131,-5,580,580,1,0
