seq,t_ms,control_ms,send_ms,base_speed,n0,n1,n2,n3,n4,n5,n6,n7,position,error,d_error,left_cmd,right_cmd,on_line,is_marker,distance_ticks,left_speed,right_speed,dl,dr,heading_ticks,udp_loop_ms,udp_send_cost_ms,udp_overrun
6,162,10,20,1000,495,354,445,1000,1000,675,294,380,3455,-45,29,983,1000,1,0,0,0,0,0,0,0,2,1,0
7,191,10,20,1000,91,39,64,909,913,327,45,19,3729,229,18,1000,878,1,0,0,0,0,0,0,0,3,1,0
8,212,10,20,1000,112,55,77,934,903,189,45,36,3442,-58,-224,923,1000,1,0,0,0,0,0,0,0,2,1,0
9,232,10,20,1000,97,73,106,959,955,128,50,91,3514,14,188,1000,954,1,0,0,0,0,0,0,0,3,1,0
10,261,10,20,1000,112,91,130,952,958,113,35,108,3484,-16,73,1000,993,1,0,0,0,0,0,0,0,3,1,0
11,282,10,20,1000,112,85,130,929,951,82,40,26,3228,-272,-191,819,1000,1,0,0,0,0,0,0,0,2,1,0
12,302,10,20,1000,69,42,106,919,944,21,0,13,3425,-75,-77,945,1000,1,0,0,0,0,0,0,0,3,1,0
13,331,10,20,1000,91,55,106,919,893,73,0,0,3410,-90,234,1000,998,1,0,0,0,0,0,0,0,3,1,0
14,352,10,20,1000,82,103,162,942,917,97,60,81,3258,-242,-237,825,1000,1,0,0,0,0,0,0,0,2,1,0
15,372,10,20,1000,27,24,104,921,931,24,0,29,3422,-78,-57,948,1000,1,0,0,0,0,0,0,0,3,1,0
16,402,10,20,1000,48,61,77,934,886,51,30,75,3486,-14,196,1000,967,1,0,0,0,0,0,0,0,3,1,0
17,422,10,20,1000,42,79,74,899,913,64,15,52,3503,3,4,1000,998,1,0,0,0,0,0,0,0,3,1,0
18,451,10,20,1000,48,70,58,886,886,64,25,81,3500,0,5,1000,999,1,0,0,0,0,0,0,0,3,1,0
19,472,10,20,1000,0,0,5,906,875,0,60,26,3491,-9,-9,994,1000,1,0,0,0,0,0,0,0,2,2,0
20,492,10,20,1000,0,0,0,916,851,48,40,22,3481,-19,-230,942,1000,1,0,0,0,0,0,0,0,3,1,0
21,522,10,20,1000,60,61,24,914,941,110,65,49,3590,90,-2,1000,954,1,0,0,0,0,0,0,0,3,1,0
23,572,10,20,1000,115,48,74,924,951,137,91,124,3611,111,-105,1000,965,1,0,0,0,0,0,0,0,3,1,0
24,592,10,20,1000,79,94,85,889,941,122,96,121,3805,305,18,1000,838,1,0,0,0,0,0,0,0,2,1,0
25,614,10,20,1000,130,70,178,959,1000,110,101,121,3553,53,-250,976,1000,1,0,0,0,0,0,0,0,2,1,0
26,634,10,20,1000,106,61,946,967,762,113,5,39,2904,-596,-277,632,1000,1,0,0,0,0,0,0,0,3,1,0
27,657,10,20,830,142,917,930,919,106,21,20,81,1976,-1524,-470,-61,1000,1,0,0,0,0,0,0,0,3,1,0
28,684,10,20,680,911,948,858,151,51,67,76,95,1086,-2414,-5,-420,1000,1,0,0,0,0,0,0,0,6,1,0
29,704,10,20,830,924,960,360,113,72,82,81,131,1180,-2320,222,-270,1000,1,0,0,0,0,0,0,0,3,1,0
30,733,10,20,680,948,941,482,115,58,36,20,65,905,-2595,1,-420,1000,1,0,0,0,0,0,0,0,3,1,0
31,754,10,20,680,993,972,877,171,75,51,81,81,1075,-2425,91,-420,1000,1,0,0,0,0,0,0,0,2,1,0
32,774,10,20,830,936,966,925,362,137,67,45,78,1337,-2163,208,-250,1000,1,0,0,0,0,0,0,0,3,2,0
33,806,10,20,830,255,963,976,1000,179,100,60,98,2053,-1447,440,170,1000,1,0,0,0,0,0,0,0,3,1,0
34,834,10,20,1000,249,207,994,1000,996,195,157,140,3066,-434,170,811,1000,1,0,0,0,0,0,0,0,5,1,0
35,863,10,20,1000,382,302,960,1000,1000,357,218,249,3146,-354,-5,815,1000,1,0,0,0,0,0,0,0,3,1,0
36,884,10,20,1000,249,207,930,1000,975,211,162,183,3133,-367,16,813,1000,1,0,0,0,0,0,0,0,2,1,0
37,904,10,20,1000,139,131,880,939,889,128,86,29,2866,-634,-91,652,1000,1,0,0,0,0,0,0,0,3,1,0
38,934,10,20,1000,60,58,909,919,355,42,55,75,2746,-754,-68,594,1000,1,0,0,0,0,0,0,0,3,1,0
39,954,10,20,1000,75,125,946,911,179,30,65,75,2529,-971,83,513,1000,1,0,0,0,0,0,0,0,3,1,0
40,984,10,20,1000,51,110,930,949,175,36,55,72,2549,-951,83,523,1000,1,0,0,0,0,0,0,0,3,1,0
41,1005,10,20,1000,112,103,882,937,503,58,60,98,2636,-864,87,569,1000,1,0,0,0,0,0,0,0,3,1,0
42,1025,10,20,1000,100,79,418,929,948,64,55,65,3096,-404,226,838,1000,1,0,0,0,0,0,0,0,3,1,0
43,1054,10,20,1000,139,116,178,947,1000,155,126,108,3466,-34,-2,982,1000,1,0,0,0,0,0,0,0,3,1,0
44,1075,10,20,1000,51,58,120,947,951,122,96,91,3502,2,301,1000,936,1,0,0,0,0,0,0,0,2,1,0
45,1095,10,20,1000,167,131,130,1000,982,107,106,81,3236,-264,43,872,1000,1,0,0,0,0,0,0,0,3,1,0
