pc_time,sender,type,loop,drive,speed_state,target,current,compute_ms,max_ms,overrun,error,filtered_error,filtered_rate,confidence,active,wide,curve,kp,kd,p,d,steering,scale,left,right,finished,mode,control_ms,loops,average_compute_ms,max_compute_ms,overrun_count,overrun_rate,line_lost_entry,telemetry_sent,telemetry_skip,debug_skip,network_slow,raw_message
2026-07-09 11:33:14.684,192.168.0.50:59940,boot,,,,,,,,,,,,,,,,0.240,0.420,,,,,,,,HIGH_SPEED_LATE_POST,10,,,,,,,,,,,"type=boot,telemetry_ok=True,mode=HIGH_SPEED_LATE_POST,control_ms=10,base_speed=850,max_speed=1000,kp=0.240,kd=0.420,late_after=36000,late_end=43500,post_end=52000"
2026-07-09 11:33:20.282,192.168.0.50:59940,start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,type=start
2026-07-09 11:33:20.781,192.168.0.50:59940,status,51,,,1000,1000,3,3,0,82,38.6,17.3,0.52,2,,,0.240,0.420,,,3,,1000,997,,FAST,,,,,,,,,,,,"type=status,loop=51,target=1000,current=1000,compute_ms=3,max_ms=3,overrun=0,error=82,filtered_error=38.6,filtered_rate=17.3,confidence=0.52,active=2,kp=0.240,kd=0.420,steering=3,left=1000,right=997,on_line=1,mode=FAST"
2026-07-09 11:33:21.199,192.168.0.50:59940,status,100,,,520,485,21,21,1,-1543,-1782.3,150.2,0.68,3,,,0.240,0.420,,,-350,,135,835,,FAST,,,,,,,,,,,,"type=status,loop=100,target=520,current=485,compute_ms=21,max_ms=21,overrun=1,error=-1543,filtered_error=-1782.3,filtered_rate=150.2,confidence=0.68,active=3,kp=0.240,kd=0.420,steering=-350,left=135,right=835,on_line=1,mode=FAST"
2026-07-09 11:33:21.878,192.168.0.50:59940,status,151,,,1000,925,3,21,1,232,160.8,-4.7,0.63,2,,,0.240,0.420,,,12,,937,913,,FAST,,,,,,,,,,,,"type=status,loop=151,target=1000,current=925,compute_ms=3,max_ms=21,overrun=1,error=232,filtered_error=160.8,filtered_rate=-4.7,confidence=0.63,active=2,kp=0.240,kd=0.420,steering=12,left=937,right=913,on_line=1,mode=FAST"
2026-07-09 11:33:22.307,192.168.0.50:59940,status,200,,,460,460,3,21,2,1265,1474.8,26.4,0.71,2,,,0.240,0.420,,,350,,850,110,,HARD,,,,,,,,,,,,"type=status,loop=200,target=460,current=460,compute_ms=3,max_ms=21,overrun=2,error=1265,filtered_error=1474.8,filtered_rate=26.4,confidence=0.71,active=2,kp=0.240,kd=0.420,steering=350,left=850,right=110,on_line=1,mode=HARD"
2026-07-09 11:33:22.759,192.168.0.50:59940,status,251,,,700,700,3,21,2,1397,1400.8,33.0,0.78,3,,,0.240,0.420,,,335,,1000,365,,FAST,,,,,,,,,,,,"type=status,loop=251,target=700,current=700,compute_ms=3,max_ms=21,overrun=2,error=1397,filtered_error=1400.8,filtered_rate=33.0,confidence=0.78,active=3,kp=0.240,kd=0.420,steering=335,left=1000,right=365,on_line=1,mode=FAST"
2026-07-09 11:33:23.314,192.168.0.50:59940,status,300,,,700,700,2,21,3,1300,1370.4,4.7,0.70,3,,,0.240,0.420,,,316,,1000,384,,FAST,,,,,,,,,,,,"type=status,loop=300,target=700,current=700,compute_ms=2,max_ms=21,overrun=3,error=1300,filtered_error=1370.4,filtered_rate=4.7,confidence=0.70,active=3,kp=0.240,kd=0.420,steering=316,left=1000,right=384,on_line=1,mode=FAST"
2026-07-09 11:33:24.712,192.168.0.50:59940,status,449,,,850,775,2,21,4,113,277.3,-4.9,0.55,2,,,0.240,0.420,,,27,,802,748,,FAST,,,,,,,,,,,,"type=status,loop=449,target=850,current=775,compute_ms=2,max_ms=21,overrun=4,error=113,filtered_error=277.3,filtered_rate=-4.9,confidence=0.55,active=2,kp=0.240,kd=0.420,steering=27,left=802,right=748,on_line=1,mode=FAST"
2026-07-09 11:33:25.361,192.168.0.50:59940,status,498,,,1000,1000,2,21,5,-87,-68.4,-28.1,0.51,2,,,0.240,0.420,,,-7,,993,1000,,FAST,,,,,,,,,,,,"type=status,loop=498,target=1000,current=1000,compute_ms=2,max_ms=21,overrun=5,error=-87,filtered_error=-68.4,filtered_rate=-28.1,confidence=0.51,active=2,kp=0.240,kd=0.420,steering=-7,left=993,right=1000,on_line=1,mode=FAST"
2026-07-09 11:33:25.869,192.168.0.50:59940,status,548,,,850,850,2,21,5,279,347.0,-13.2,0.65,3,,,0.240,0.420,,,47,,897,803,,FAST,,,,,,,,,,,,"type=status,loop=548,target=850,current=850,compute_ms=2,max_ms=21,overrun=5,error=279,filtered_error=347.0,filtered_rate=-13.2,confidence=0.65,active=3,kp=0.240,kd=0.420,steering=47,left=897,right=803,on_line=1,mode=FAST"
2026-07-09 11:33:26.280,192.168.0.50:59940,status,597,,,1000,1000,2,21,6,-90,-51.9,-9.7,0.51,2,,,0.240,0.420,,,-2,,998,1000,,FAST,,,,,,,,,,,,"type=status,loop=597,target=1000,current=1000,compute_ms=2,max_ms=21,overrun=6,error=-90,filtered_error=-51.9,filtered_rate=-9.7,confidence=0.51,active=2,kp=0.240,kd=0.420,steering=-2,left=998,right=1000,on_line=1,mode=FAST"
2026-07-09 11:33:26.927,192.168.0.50:59940,status,647,,,1000,925,3,21,6,27,73.5,-47.5,0.59,2,,,0.240,0.420,,,-9,,916,934,,FAST,,,,,,,,,,,,"type=status,loop=647,target=1000,current=925,compute_ms=3,max_ms=21,overrun=6,error=27,filtered_error=73.5,filtered_rate=-47.5,confidence=0.59,active=2,kp=0.240,kd=0.420,steering=-9,left=916,right=934,on_line=1,mode=FAST"
2026-07-09 11:33:27.407,192.168.0.50:59940,status,697,,,850,850,3,21,7,268,326.8,-5.6,0.70,3,,,0.240,0.420,,,46,,896,804,,FAST,,,,,,,,,,,,"type=status,loop=697,target=850,current=850,compute_ms=3,max_ms=21,overrun=7,error=268,filtered_error=326.8,filtered_rate=-5.6,confidence=0.70,active=3,kp=0.240,kd=0.420,steering=46,left=896,right=804,on_line=1,mode=FAST"
2026-07-09 11:33:27.745,192.168.0.50:59940,status,748,,,1000,1000,3,21,7,-99,-124.1,-2.3,0.57,2,,,0.240,0.420,,,-8,,992,1000,,FAST,,,,,,,,,,,,"type=status,loop=748,target=1000,current=1000,compute_ms=3,max_ms=21,overrun=7,error=-99,filtered_error=-124.1,filtered_rate=-2.3,confidence=0.57,active=2,kp=0.240,kd=0.420,steering=-8,left=992,right=1000,on_line=1,mode=FAST"
2026-07-09 11:33:28.283,192.168.0.50:59940,status,798,,,1000,1000,3,21,8,3,-2.6,-17.3,0.48,2,,,0.240,0.420,,,-4,,996,1000,,FAST,,,,,,,,,,,,"type=status,loop=798,target=1000,current=1000,compute_ms=3,max_ms=21,overrun=8,error=3,filtered_error=-2.6,filtered_rate=-17.3,confidence=0.48,active=2,kp=0.240,kd=0.420,steering=-4,left=996,right=1000,on_line=1,mode=FAST"
2026-07-09 11:33:28.772,192.168.0.50:59940,status,848,,,1000,1000,3,21,8,8,6.2,-19.8,0.51,2,,,0.240,0.420,,,-4,,996,1000,,FAST,,,,,,,,,,,,"type=status,loop=848,target=1000,current=1000,compute_ms=3,max_ms=21,overrun=8,error=8,filtered_error=6.2,filtered_rate=-19.8,confidence=0.51,active=2,kp=0.240,kd=0.420,steering=-4,left=996,right=1000,on_line=1,mode=FAST"
2026-07-09 11:33:29.281,192.168.0.50:59940,status,898,,,1000,975,3,21,9,87,89.7,-22.4,0.58,2,,,0.240,0.420,,,-1,,974,976,,FAST,,,,,,,,,,,,"type=status,loop=898,target=1000,current=975,compute_ms=3,max_ms=21,overrun=9,error=87,filtered_error=89.7,filtered_rate=-22.4,confidence=0.58,active=2,kp=0.240,kd=0.420,steering=-1,left=974,right=976,on_line=1,mode=FAST"
2026-07-09 11:33:29.945,192.168.0.50:59940,status,949,,,850,850,3,21,9,-476,-398.7,-29.2,0.65,2,,,0.240,0.420,,,-70,,780,920,,FAST,,,,,,,,,,,,"type=status,loop=949,target=850,current=850,compute_ms=3,max_ms=21,overrun=9,error=-476,filtered_error=-398.7,filtered_rate=-29.2,confidence=0.65,active=2,kp=0.240,kd=0.420,steering=-70,left=780,right=920,on_line=1,mode=FAST"
2026-07-09 11:33:30.376,192.168.0.50:59940,status,998,,,1000,975,2,21,10,196,130.6,59.5,0.53,2,,,0.240,0.420,,,23,,998,952,,FAST,,,,,,,,,,,,"type=status,loop=998,target=1000,current=975,compute_ms=2,max_ms=21,overrun=10,error=196,filtered_error=130.6,filtered_rate=59.5,confidence=0.53,active=2,kp=0.240,kd=0.420,steering=23,left=998,right=952,on_line=1,mode=FAST"
2026-07-09 11:33:30.810,192.168.0.50:59940,status,1048,,,1000,1000,3,21,10,208,177.6,25.8,0.58,2,,,0.240,0.420,,,21,,1000,979,,FAST,,,,,,,,,,,,"type=status,loop=1048,target=1000,current=1000,compute_ms=3,max_ms=21,overrun=10,error=208,filtered_error=177.6,filtered_rate=25.8,confidence=0.58,active=2,kp=0.240,kd=0.420,steering=21,left=1000,right=979,on_line=1,mode=FAST"
2026-07-09 11:33:31.376,192.168.0.50:59940,status,1098,,,850,850,2,21,11,508,446.1,50.2,0.61,3,,,0.240,0.420,,,85,,935,765,,FAST,,,,,,,,,,,,"type=status,loop=1098,target=850,current=850,compute_ms=2,max_ms=21,overrun=11,error=508,filtered_error=446.1,filtered_rate=50.2,confidence=0.61,active=3,kp=0.240,kd=0.420,steering=85,left=935,right=765,on_line=1,mode=FAST"
2026-07-09 11:33:32.365,192.168.0.50:59940,status,1197,,,700,700,3,21,12,1377,1189.6,70.8,0.67,3,,,0.240,0.420,,,300,,1000,400,,FAST,,,,,,,,,,,,"type=status,loop=1197,target=700,current=700,compute_ms=3,max_ms=21,overrun=12,error=1377,filtered_error=1189.6,filtered_rate=70.8,confidence=0.67,active=3,kp=0.240,kd=0.420,steering=300,left=1000,right=400,on_line=1,mode=FAST"
2026-07-09 11:33:32.854,192.168.0.50:59940,status,1247,,,850,725,3,21,12,557,670.8,-71.0,0.63,2,,,0.240,0.420,,,116,,841,609,,FAST,,,,,,,,,,,,"type=status,loop=1247,target=850,current=725,compute_ms=3,max_ms=21,overrun=12,error=557,filtered_error=670.8,filtered_rate=-71.0,confidence=0.63,active=2,kp=0.240,kd=0.420,steering=116,left=841,right=609,on_line=1,mode=FAST"
2026-07-09 11:33:33.291,192.168.0.50:59940,status,1297,,,700,685,3,21,13,-848,-970.7,23.6,0.70,3,,,0.240,0.420,,,-208,,477,893,,FAST,,,,,,,,,,,,"type=status,loop=1297,target=700,current=685,compute_ms=3,max_ms=21,overrun=13,error=-848,filtered_error=-970.7,filtered_rate=23.6,confidence=0.70,active=3,kp=0.240,kd=0.420,steering=-208,left=477,right=893,on_line=1,mode=FAST"
2026-07-09 11:33:33.839,192.168.0.50:59940,status,1348,,,850,645,3,21,13,-190,-467.1,155.7,0.60,2,,,0.240,0.420,,,-32,,613,677,,FAST,,,,,,,,,,,,"type=status,loop=1348,target=850,current=645,compute_ms=3,max_ms=21,overrun=13,error=-190,filtered_error=-467.1,filtered_rate=155.7,confidence=0.60,active=2,kp=0.240,kd=0.420,steering=-32,left=613,right=677,on_line=1,mode=FAST"
2026-07-09 11:33:34.516,192.168.0.50:59940,status,1397,,,700,700,3,21,14,1130,1241.9,-12.6,0.89,3,,,0.240,0.420,,,278,,978,422,,FAST,,,,,,,,,,,,"type=status,loop=1397,target=700,current=700,compute_ms=3,max_ms=21,overrun=14,error=1130,filtered_error=1241.9,filtered_rate=-12.6,confidence=0.89,active=3,kp=0.240,kd=0.420,steering=278,left=978,right=422,on_line=1,mode=FAST"
2026-07-09 11:33:34.862,192.168.0.50:59940,status,1447,,,850,670,3,21,14,108,345.5,-147.7,0.66,2,,,0.240,0.420,,,6,,676,664,,FAST,,,,,,,,,,,,"type=status,loop=1447,target=850,current=670,compute_ms=3,max_ms=21,overrun=14,error=108,filtered_error=345.5,filtered_rate=-147.7,confidence=0.66,active=2,kp=0.240,kd=0.420,steering=6,left=676,right=664,on_line=1,mode=FAST"
2026-07-09 11:33:35.917,192.168.0.50:59940,status,1546,,,520,520,2,21,15,-1791,-2021.7,118.9,0.67,2,,,0.240,0.420,,,-420,,120,940,,FAST,,,,,,,,,,,,"type=status,loop=1546,target=520,current=520,compute_ms=2,max_ms=21,overrun=15,error=-1791,filtered_error=-2021.7,filtered_rate=118.9,confidence=0.67,active=2,kp=0.240,kd=0.420,steering=-420,left=120,right=940,on_line=1,mode=FAST"
2026-07-09 11:33:36.472,192.168.0.50:59940,status,1595,,,1000,950,3,21,16,-190,-127.3,-27.6,0.72,3,,,0.240,0.420,,,-15,,935,965,,FAST,,,,,,,,,,,,"type=status,loop=1595,target=1000,current=950,compute_ms=3,max_ms=21,overrun=16,error=-190,filtered_error=-127.3,filtered_rate=-27.6,confidence=0.72,active=3,kp=0.240,kd=0.420,steering=-15,left=935,right=965,on_line=1,mode=FAST"
