seq,t_ms,control_ms,send_ms,base_speed,n0,n1,n2,n3,n4,n5,n6,n7,position,error,d_error,left_cmd,right_cmd,on_line,is_marker
1,43,5,20,1000,721,532,641,1000,1000,689,460,596,3403,-97,61,963,1000,1,0
2,63,5,20,1000,930,664,796,1000,1000,924,569,756,3401,-99,17,953,1000,1,1
3,83,5,20,1000,1000,793,913,1000,1000,1000,668,884,3418,-82,16,961,1000,1,1
4,103,5,20,1000,1000,835,934,1000,1000,1000,693,913,3424,-76,-1,961,1000,1,1
5,123,5,20,1000,1000,769,855,1000,1000,1000,633,855,3411,-89,2,955,1000,1,1
6,143,5,20,1000,867,625,703,1000,1000,1000,495,673,3412,-88,11,957,1000,1,0
7,163,5,20,1000,316,236,271,472,1000,1000,198,246,3772,272,202,1000,817,1,0
8,183,5,20,1000,41,38,51,44,867,867,29,35,4500,1000,12,1000,478,1,0
9,203,5,20,1000,18,65,62,49,916,942,89,112,4648,1148,37,1000,396,1,0
10,223,5,20,1000,25,50,35,241,923,915,84,99,4324,824,-205,1000,615,1,0
11,247,5,20,1000,28,68,97,958,954,259,54,64,3678,178,-291,1000,969,1,0
12,268,5,20,1000,120,113,141,979,954,195,39,121,3419,-81,-105,936,1000,1,0
13,288,5,20,1000,186,155,426,1000,958,177,79,182,3241,-259,-121,840,1000,1,0
14,308,5,20,1000,66,74,760,921,550,30,39,22,2905,-595,-118,666,1000,1,0
15,328,5,20,1000,88,74,899,973,247,93,79,54,2692,-808,-25,575,1000,1,0
16,348,5,20,1000,28,35,771,923,463,96,49,41,2857,-643,95,686,1000,1,0
17,368,5,20,1000,98,104,418,992,891,93,94,166,3361,-139,188,968,1000,1,0
18,388,5,20,1000,72,83,149,984,937,132,94,118,3656,156,258,1000,865,1,0
19,413,5,20,1000,0,26,40,871,916,39,39,102,3700,200,-62,1000,910,1,0
20,433,5,20,1000,0,50,13,879,905,132,14,54,3610,110,44,1000,934,1,0
21,453,5,20,1000,0,23,35,847,912,280,74,48,3721,221,43,1000,877,1,0
22,473,5,20,1000,31,92,0,790,891,418,49,86,3822,322,31,1000,827,1,0
23,493,5,20,1000,0,29,0,761,891,536,108,25,3996,496,-1,1000,743,1,0
24,517,5,20,1000,0,5,10,779,905,463,79,35,3852,352,-21,1000,822,1,0
25,538,5,20,1000,63,62,46,929,909,162,64,70,3616,116,-172,1000,976,1,0
26,558,5,20,1000,66,119,78,976,919,123,133,60,3584,84,92,1000,937,1,0
27,578,5,20,1000,75,62,81,913,951,108,64,96,3591,91,103,1000,932,1,0
28,599,5,20,1000,94,104,111,937,916,57,84,76,3288,-212,-150,859,1000,1,0
29,619,5,20,1000,85,71,152,952,1000,120,103,102,3743,243,66,1000,860,1,0
30,639,5,20,1000,34,125,798,955,839,54,29,38,2923,-577,-93,681,1000,1,0
31,663,5,20,760,15,793,894,892,59,24,39,67,2038,-1462,-196,0,1000,1,0
32,684,5,20,760,882,886,934,721,94,6,39,118,1621,-1879,3,-216,1000,1,0
33,704,5,20,620,876,943,945,322,24,6,24,35,1231,-2269,-16,-450,1000,1,0
34,724,5,20,620,958,931,945,291,38,42,49,64,1182,-2318,-30,-450,1000,1,0
35,748,5,20,760,949,934,967,834,121,96,59,118,1702,-1798,298,-112,1000,1,0
36,769,5,20,760,984,937,951,979,195,30,89,86,1620,-1880,23,-212,1000,1,0
37,789,5,20,760,718,976,953,992,365,123,54,73,1922,-1578,221,-14,1000,1,0
38,809,5,20,1000,75,877,945,965,749,63,14,89,2448,-1052,-10,451,1000,1,0
39,833,5,20,1000,145,197,997,1000,916,201,138,176,3161,-339,100,845,1000,1,0
40,854,5,20,1000,212,254,1000,994,655,222,188,237,3124,-376,54,816,1000,1,0
41,879,5,20,1000,6,263,907,942,184,72,39,51,2456,-1044,-168,422,1000,1,0
42,899,5,20,1000,18,502,929,931,118,111,84,112,2576,-924,288,581,1000,1,0
43,919,5,20,760,69,598,921,929,118,84,64,99,2220,-1280,-9,93,1000,1,0
44,939,5,20,1000,53,317,921,960,108,63,103,105,2714,-786,419,680,1000,1,0
45,959,5,20,1000,75,104,945,965,303,93,94,163,2920,-580,-74,683,1000,1,0
46,983,5,20,1000,120,182,788,997,864,180,128,189,3247,-253,68,883,1000,1,0
47,1004,5,20,1000,41,47,328,955,944,75,94,137,3492,-8,245,1000,953,1,0
48,1029,5,20,1000,107,113,209,973,1000,129,123,195,3579,79,-203,999,1000,1,0
49,1049,5,20,1000,82,53,307,963,944,96,94,134,3499,-1,-154,968,1000,1,0
50,1069,5,20,1000,101,98,635,960,846,96,99,121,3147,-353,-131,789,1000,1,0
51,1094,5,20,1000,85,107,875,979,494,117,89,137,3069,-431,99,797,1000,1,0
52,1114,5,20,1000,15,65,894,958,264,54,94,102,2899,-601,153,720,1000,1,0
53,1134,5,20,1000,12,71,913,979,240,84,29,112,2899,-601,215,733,1000,1,0
54,1158,5,20,1000,183,98,861,937,432,117,113,121,3028,-472,119,780,1000,1,0
55,1179,5,20,1000,132,116,663,963,752,105,99,153,3098,-402,-45,782,1000,1,0
56,1199,5,20,1000,88,143,285,981,1000,180,128,137,3603,103,119,1000,922,1,0
57,1223,5,20,1000,31,89,97,923,965,117,133,121,3921,421,37,1000,774,1,0
58,1244,5,20,1000,44,53,40,929,944,93,79,118,3711,211,-44,1000,900,1,0
59,1264,5,20,1000,6,56,73,926,965,117,128,173,3985,485,204,1000,705,1,0
60,1284,5,20,1000,15,38,86,950,968,138,74,141,3822,322,5,1000,832,1,0
61,1304,5,20,1000,22,35,100,960,933,75,113,112,3730,230,-81,1000,898,1,0
62,1329,5,20,1000,37,23,404,947,881,96,103,141,3545,45,45,1000,968,1,0
63,1349,5,20,1000,0,53,616,934,682,54,64,89,3029,-471,-224,709,1000,1,0
64,1369,5,20,1000,53,77,774,950,557,129,113,147,3362,-138,-47,919,1000,1,0
65,1389,5,20,1000,34,35,817,947,459,57,89,125,3060,-440,-31,765,1000,1,0
66,1409,5,20,1000,60,50,741,921,581,39,84,76,2928,-572,-131,676,1000,1,0
67,1429,5,20,1000,69,50,543,942,825,93,143,160,3517,17,70,1000,977,1,0
68,1449,5,20,1000,12,47,244,942,926,60,94,96,3322,-178,41,917,1000,1,0
69,1474,5,20,1000,85,116,179,958,951,147,123,169,3710,210,-38,1000,899,1,0
70,1494,5,20,1000,79,65,130,960,968,93,64,70,3407,-93,-285,892,1000,1,0
71,1518,5,20,1000,164,173,211,1000,1000,210,138,157,3462,-38,-99,960,1000,1,0
72,1539,5,20,1000,94,119,130,1000,940,159,89,160,3610,110,100,1000,922,1,0
73,1559,5,20,1000,82,98,81,913,954,123,79,99,3603,103,-12,1000,949,1,0
74,1579,5,20,1000,31,68,70,947,951,102,39,80,3577,77,-99,1000,981,1,0
75,1599,5,20,1000,9,50,54,910,881,105,103,112,3875,375,286,1000,745,1,0
76,1624,5,20,1000,0,17,65,926,930,45,44,118,3710,210,185,1000,852,1,0
77,1644,5,20,1000,0,0,13,908,898,87,123,64,3656,156,-214,1000,964,1,0
78,1664,5,20,1000,0,8,57,910,944,111,89,54,3593,93,-295,987,1000,1,0
79,1684,5,20,1000,0,14,13,887,916,171,79,76,3637,137,-258,1000,983,1,0
80,1704,5,20,1000,0,0,0,850,895,466,69,96,3826,326,58,1000,819,1,0
81,1724,5,20,1000,0,32,0,656,881,861,69,99,4085,585,-50,1000,707,1,0
82,1744,5,20,1000,0,0,5,196,878,882,79,76,4350,850,-72,1000,574,1,0
83,1768,5,20,760,0,0,0,31,874,879,178,105,4761,1261,10,1000,103,1,0
