seq,t_ms,control_ms,send_ms,current_speed,n0,n1,n2,n3,n4,n5,n6,n7,position,error,d_error,left_cmd,right_cmd,on_line,is_marker
20,479,10,20,1000,20,10,757,899,598,90,52,78,2929,-571,-112,646,1000,1,0
21,499,10,20,1000,7,0,655,911,748,82,73,49,3040,-460,78,751,1000,1,0
22,519,10,20,1000,12,0,304,877,915,43,54,61,3291,-209,131,974,1000,1,0
23,539,10,20,1000,25,10,119,871,944,72,89,66,3426,-74,81,995,1000,1,0
24,568,10,20,1000,15,5,85,921,931,139,82,47,3607,107,-30,1000,982,1,0
25,589,10,20,1000,7,0,42,877,895,195,45,35,3653,153,46,1000,963,1,0
26,619,10,20,1000,65,73,119,871,934,435,70,68,3714,214,-48,1000,962,1,0
27,649,10,20,1000,45,87,162,924,937,167,89,83,3506,6,-164,981,1000,1,0
28,682,10,20,1000,25,817,917,915,107,46,43,26,2113,-1387,-804,-100,1000,1,0
29,708,10,20,1000,668,894,917,66,29,46,50,59,1100,-2400,-204,-100,1000,1,0
30,729,10,20,1000,723,912,199,28,0,30,61,61,714,-2786,-488,-100,1000,1,0
31,759,10,20,1000,716,532,28,15,58,23,63,80,426,-3074,-857,-100,1000,1,0
32,781,10,20,1000,685,287,71,72,101,51,105,116,1648,-1852,967,130,1000,1,0
33,802,10,20,1000,721,229,82,50,91,103,136,114,1809,-1691,-22,-100,1000,1,0
34,822,10,20,1000,706,324,113,88,84,121,139,128,1884,-1616,-326,-100,1000,1,0
35,851,10,20,1000,723,875,88,84,55,92,125,109,1303,-2197,-471,-100,1000,1,0
36,878,10,20,1000,690,928,492,59,78,115,123,137,1683,-1817,270,-100,1000,1,0
37,899,10,20,1000,560,934,957,94,98,95,107,85,1364,-2136,-182,-100,1000,1,0
38,922,10,20,1000,42,931,957,742,78,85,86,78,1928,-1572,280,148,1000,1,0
39,949,10,20,1000,15,65,923,965,571,126,136,125,3283,-217,429,1000,992,1,0
40,979,10,20,1000,90,150,199,959,986,185,166,135,3681,181,-39,1000,968,1,0
41,1008,10,20,1000,57,63,148,946,954,131,155,95,3656,156,-160,1000,988,1,0
42,1028,10,20,1000,12,29,173,949,934,103,86,99,3447,-53,-235,960,1000,1,0
43,1048,10,20,1000,57,71,495,930,934,131,121,111,3554,54,2,1000,989,1,0
44,1068,10,20,1000,77,47,860,940,702,134,89,125,3220,-280,-235,913,1000,1,0
45,1097,10,20,1000,82,87,968,959,264,121,125,102,3126,-374,173,820,1000,1,0
46,1118,10,20,1000,25,73,968,1000,173,105,100,109,3061,-439,421,835,1000,1,0
47,1138,10,20,1000,47,108,960,955,147,123,134,121,3040,-460,-44,725,1000,1,0
48,1168,10,20,1000,65,65,914,946,153,146,116,95,2946,-554,-141,650,1000,1,0
