seq,t_ms,control_ms,send_ms,current_speed,n0,n1,n2,n3,n4,n5,n6,n7,position,error,d_error,left_cmd,right_cmd,on_line,is_marker
2,65,10,20,330,913,925,942,961,919,973,974,969,3545,45,4,330,330,1,1
3,94,10,20,345,952,901,890,946,915,929,928,924,3501,1,-2,345,345,1,1
4,114,10,20,355,910,883,924,892,936,935,903,1000,3554,54,3,355,355,1,1
5,134,10,20,365,868,898,896,979,959,911,948,989,3575,75,5,365,365,1,1
6,155,10,20,375,257,280,490,936,888,436,571,673,3958,458,52,375,375,1,0
7,175,10,20,385,47,41,384,923,902,88,30,113,3417,-83,-14,414,356,1,0
8,195,10,20,395,41,41,464,892,841,38,20,34,3171,-329,-64,334,456,1,0
9,215,10,20,405,38,17,496,938,781,44,35,41,3128,-372,-59,237,573,1,0
10,245,10,20,420,74,26,264,946,922,67,51,61,3308,-192,-12,236,604,1,0
11,265,10,20,430,44,44,132,953,956,115,0,65,3488,-12,22,338,522,1,0
12,285,10,20,440,59,71,98,966,949,106,15,58,3574,74,35,418,462,1,0
13,305,10,20,450,71,68,132,864,949,486,25,34,3735,235,48,478,422,1,0
14,325,10,20,460,107,68,122,562,976,899,0,6,3874,374,58,577,343,1,0
15,345,10,20,470,89,44,127,322,939,941,0,65,4156,656,80,707,233,1,0
16,365,10,20,480,86,32,70,301,952,938,5,0,4290,790,87,788,172,1,0
17,385,10,20,490,77,170,106,754,956,693,0,0,3707,207,-9,789,191,1,0
18,414,10,20,505,68,77,116,941,925,44,10,0,3408,-92,-70,569,441,1,0
19,435,10,20,515,68,65,776,948,670,94,0,10,2955,-545,-107,415,615,1,0
20,455,10,20,525,95,59,932,984,175,67,0,3,2637,-863,-142,183,855,1,0
21,475,10,20,535,77,107,953,936,121,97,0,34,2505,-995,-119,91,979,1,0
22,495,10,20,545,92,32,927,933,228,67,0,0,2665,-835,-63,56,1000,1,0
23,515,10,20,555,41,11,181,900,925,29,30,0,3370,-130,50,173,937,1,0
24,535,10,20,565,41,20,103,831,922,554,30,20,3799,299,122,401,709,1,0
25,565,10,20,580,50,41,72,81,797,967,673,3,4949,1449,238,761,255,1,0
26,585,10,20,510,62,50,88,92,168,932,923,82,5373,1873,257,1000,0,1,0
27,605,10,20,440,56,5,93,86,144,943,969,65,5401,1901,192,1000,0,1,0
28,635,10,20,435,68,23,124,97,818,970,571,20,4750,1250,21,1000,0,1,0
29,664,10,20,450,98,65,122,227,996,970,20,0,4215,715,-95,992,0,1,0
30,684,10,20,460,83,32,111,943,949,171,5,0,3542,42,-159,804,116,1,0
31,704,10,20,470,92,65,683,966,760,56,30,37,3031,-469,-207,471,356,1,0
32,725,10,20,480,128,155,955,989,138,64,20,20,2361,-1139,-251,181,596,1,0
33,754,10,20,430,101,922,953,255,90,23,0,37,1610,-1890,-252,0,956,1,0
34,774,10,20,430,146,928,966,268,117,76,15,37,1703,-1797,-178,0,1000,1,0
35,795,10,20,435,128,734,963,710,97,70,5,34,1889,-1611,-85,0,1000,1,0
36,816,10,20,445,50,110,961,997,141,82,15,0,2529,-971,43,0,998,1,0
37,836,10,20,455,14,29,875,974,430,97,0,27,2804,-696,89,0,988,1,0
38,856,10,20,465,80,65,88,953,952,117,40,44,3586,86,181,143,734,1,0
39,876,10,20,475,161,92,59,388,909,858,51,89,3924,424,182,383,514,1,0
40,896,10,20,485,32,143,98,25,915,893,408,82,4542,1042,223,623,240,1,0
41,916,10,20,455,44,71,38,15,97,858,959,58,5527,2027,305,863,0,1,0
42,936,10,20,430,65,23,67,20,50,896,943,185,5648,2148,270,1000,0,1,0
43,965,10,20,430,17,44,15,0,47,887,913,65,5507,2007,135,1000,0,1,0
44,986,10,20,430,2,0,31,25,289,864,908,17,5300,1800,58,1000,0,1,0
45,1008,10,20,435,50,0,111,35,919,884,81,0,4345,845,-71,1000,0,1,0
46,1028,10,20,445,29,0,28,508,882,882,0,0,4164,664,-133,1000,0,1,0
47,1057,10,20,460,47,0,244,920,919,0,0,0,3324,-176,-210,594,240,1,0
48,1077,10,20,470,89,8,942,964,94,26,0,0,2505,-995,-268,261,480,1,0
49,1098,10,20,440,68,859,945,393,84,56,5,3,1787,-1713,-297,0,720,1,0
50,1127,10,20,430,44,910,935,99,74,35,0,0,1506,-1994,-225,0,1000,1,0
51,1148,10,20,430,41,880,919,127,57,11,0,0,1609,-1891,-147,0,1000,1,0
52,1168,10,20,435,59,811,929,429,87,35,15,10,1823,-1677,-63,0,1000,1,0
53,1188,10,20,445,101,191,929,941,121,61,35,3,2346,-1154,40,0,1000,1,0
54,1208,10,20,455,116,74,955,976,235,85,66,27,2531,-969,84,0,990,1,0
55,1228,10,20,465,161,104,555,994,949,109,56,96,2972,-528,118,0,954,1,0
56,1248,10,20,475,65,41,137,936,952,168,71,30,3524,24,171,210,707,1,0
57,1277,10,20,490,41,14,83,386,929,943,66,24,4246,746,204,570,307,1,0
58,1298,10,20,500,86,17,83,148,925,929,71,20,4390,890,181,810,123,1,0
59,1318,10,20,510,5,2,41,406,922,864,91,0,4208,708,105,969,51,1,0
60,1338,10,20,520,14,14,122,920,925,843,51,0,3885,385,14,921,119,1,0
61,1358,10,20,530,68,629,885,897,936,64,25,0,2639,-861,-165,571,359,1,0
62,1378,10,20,500,886,910,919,910,144,35,15,0,1606,-1894,-307,162,599,1,0
63,1408,10,20,395,925,892,496,48,63,41,5,0,814,-2686,-315,0,980,1,0
64,1438,10,20,300,574,143,59,43,63,64,0,0,199,-3301,-256,0,953,1,0
65,1466,10,20,180,86,26,103,74,107,82,0,24,199,-3301,-256,0,953,0,0
66,1486,10,20,180,56,50,127,94,117,76,20,17,199,-3301,-256,180,330,0,0
67,1507,10,20,180,107,44,127,94,104,126,51,85,199,-3301,-256,180,330,0,0
68,1527,10,20,180,20,17,114,117,144,126,20,65,3562,62,-256,240,160,1,0
69,1547,10,20,180,74,68,109,94,124,73,25,65,3562,62,-256,180,330,0,0
70,1576,10,20,180,74,38,75,97,117,85,40,79,3562,62,-256,180,330,0,0
71,1597,10,20,180,80,38,96,84,114,70,15,82,3562,62,-256,180,330,0,0
72,1617,10,20,180,44,50,93,74,94,91,0,82,3562,62,-256,180,330,0,0
73,1637,10,20,180,59,50,93,69,138,70,0,103,3562,62,-256,0,260,0,0
74,1666,10,20,180,44,0,70,63,90,82,0,48,3562,62,-256,0,260,0,0
75,1687,10,20,180,29,23,93,86,77,56,0,51,3562,62,-256,0,260,0,0
76,1707,10,20,180,86,26,88,84,114,64,10,61,3562,62,-256,0,260,0,0
77,1727,10,20,180,44,0,59,74,74,50,5,85,3562,62,-256,0,260,0,0
78,1756,10,20,180,41,53,57,97,84,103,25,48,3562,62,-256,0,260,0,0
79,1777,10,20,180,77,32,57,58,104,64,0,82,3562,62,-256,0,260,0,0
80,1797,10,20,180,62,47,38,61,80,97,20,82,3562,62,-256,0,260,0,0
81,1826,10,20,180,59,41,88,69,107,70,30,79,3562,62,-256,0,260,0,0
82,1846,10,20,180,62,29,106,58,84,67,45,85,3562,62,-256,0,260,0,0
83,1867,10,20,180,56,38,80,48,121,70,61,89,3562,62,-256,0,260,0,0
84,1887,10,20,180,50,80,127,17,101,79,45,147,3562,62,-256,0,260,0,0
85,1907,10,20,180,128,68,122,76,144,103,56,72,3562,62,-256,0,260,0,0
86,1927,10,20,180,155,47,85,61,84,91,66,103,3562,62,-256,0,260,0,0
87,1947,10,20,180,281,83,116,104,90,120,45,75,1842,-1658,-256,160,240,1,0
88,1967,10,20,180,485,59,98,81,101,82,61,65,689,-2811,-256,160,240,1,0
89,1988,10,20,190,610,83,101,94,114,103,51,85,1264,-2236,0,0,480,1,0
90,2009,10,20,195,814,62,119,130,94,67,25,99,590,-2910,0,0,495,1,0
91,2039,10,20,210,961,104,111,109,124,70,35,89,815,-2685,0,0,510,1,0
92,2068,10,20,225,964,417,124,79,94,85,45,79,441,-3059,0,0,525,1,0
93,2088,10,20,235,946,931,127,94,74,138,66,82,875,-2625,0,0,535,1,0
94,2108,10,20,240,904,976,129,127,121,109,71,120,1401,-2099,0,0,540,1,0
95,2128,10,20,245,937,943,568,104,131,109,40,103,1444,-2056,0,0,660,1,0
96,2148,10,20,255,251,940,966,117,131,100,0,68,1695,-1805,228,0,830,1,0
97,2168,10,20,265,131,925,968,345,127,132,10,82,1926,-1574,235,0,900,1,0
98,2188,10,20,275,110,95,929,964,131,88,15,54,2471,-1029,248,0,879,1,0
99,2209,10,20,285,110,65,503,984,952,112,51,44,3128,-372,264,0,762,1,0
100,2239,10,20,300,110,50,127,317,962,973,71,106,4107,607,295,240,282,1,0
101,2259,10,20,310,44,8,70,112,855,958,632,68,4825,1325,322,480,3,1,0
102,2289,10,20,325,29,26,72,84,164,958,959,72,5382,1882,273,840,0,1,0
103,2310,10,20,335,41,41,93,56,181,976,933,99,5359,1859,188,971,0,1,0
104,2340,10,20,350,41,35,101,33,892,970,505,0,4720,1220,17,925,0,1,0
105,2360,10,20,360,56,17,90,104,1000,943,76,41,4409,909,-67,902,0,1,0
106,2390,10,20,375,101,65,153,984,989,197,66,75,3382,-118,-180,657,93,1,0
107,2420,10,20,390,77,92,966,1000,158,58,5,58,2619,-881,-229,194,453,1,0
108,2449,10,20,405,116,931,979,391,171,162,20,41,2020,-1480,-236,0,813,1,0
109,2470,10,20,415,134,925,989,350,175,123,35,92,1954,-1546,-176,0,896,1,0
110,2499,10,20,430,77,364,968,966,198,138,10,72,2536,-964,-20,0,938,1,0
111,2520,10,20,440,95,74,955,1000,218,141,66,68,2803,-697,46,0,898,1,0
112,2540,10,20,450,65,83,475,994,912,135,71,48,3281,-219,102,81,819,1,0
113,2569,10,20,465,68,32,122,526,983,908,61,168,4237,737,204,441,380,1,0
114,2590,10,20,475,68,41,114,84,966,982,250,161,4702,1202,233,681,139,1,0
115,2610,10,20,485,44,41,103,94,565,973,862,120,5086,1586,223,921,43,1,0
116,2640,10,20,460,56,65,148,109,851,973,540,137,4746,1246,93,981,0,1,0
117,2660,10,20,470,59,56,124,97,983,958,102,82,4421,921,-3,990,0,1,0
118,2680,10,20,480,32,59,70,851,996,572,40,113,4023,523,-73,944,16,1,0
119,2700,10,20,490,38,59,251,1000,976,138,45,123,3600,100,-129,741,239,1,0
120,2720,10,20,500,77,98,987,1000,205,117,66,96,2762,-738,-206,433,479,1,0
121,2749,10,20,515,107,961,966,176,181,153,91,51,1930,-1570,-246,120,839,1,0
122,2770,10,20,525,296,949,992,153,185,168,66,168,2111,-1389,-164,59,991,1,0
123,2790,10,20,535,167,988,992,199,151,185,117,168,2351,-1149,-83,37,1000,1,0
124,2810,10,20,545,104,907,1000,409,171,185,102,134,2421,-1079,-34,34,1000,1,0
125,2830,10,20,555,110,95,963,1000,175,144,81,144,2899,-601,57,95,1000,1,0
126,2850,10,20,565,68,83,314,969,956,174,30,147,3616,116,133,255,875,1,0
127,2870,10,20,575,104,107,174,695,962,852,71,147,3839,339,165,495,643,1,0
128,2899,10,20,590,80,83,124,104,484,979,897,171,5063,1563,270,855,256,1,0
129,2919,10,20,520,86,80,153,79,168,979,933,161,5262,1762,244,1000,0,1,0
130,2940,10,20,490,101,119,129,120,188,967,948,185,4826,1326,118,1000,0,1,0
131,2969,10,20,505,65,59,119,92,562,955,897,144,5099,1599,81,1000,0,1,0
132,2989,10,20,515,59,62,137,48,976,979,198,96,4480,980,-27,1000,0,1,0
133,3010,10,20,520,65,86,137,340,969,955,15,127,4285,785,-73,1000,0,1,0
134,3030,10,20,530,119,101,145,1000,1000,194,51,123,3438,-62,-192,797,220,1,0
135,3050,10,20,540,209,113,841,997,619,132,107,137,3018,-482,-216,486,460,1,0
136,3070,10,20,550,128,223,984,987,171,150,81,127,2698,-802,-201,240,700,1,0
137,3090,10,20,560,92,949,940,214,124,144,45,120,2218,-1282,-202,130,940,1,0
138,3110,10,20,570,98,955,992,204,171,162,71,120,2259,-1241,-153,84,1000,1,0
139,3130,10,20,580,107,961,968,209,141,144,81,106,2105,-1395,-126,71,1000,1,0
140,3150,10,20,590,104,522,950,856,114,129,61,85,2277,-1223,-52,70,1000,1,0
141,3170,10,20,600,95,65,940,956,215,115,30,51,2777,-723,35,75,1000,1,0
142,3190,10,20,610,110,101,132,956,969,153,96,82,3252,-248,112,235,985,1,0
143,3210,10,20,620,77,98,124,196,959,976,76,120,4375,875,227,475,644,1,0
144,3231,10,20,620,119,38,93,148,437,935,913,109,4925,1425,272,715,331,1,0
145,3251,10,20,585,149,110,163,176,127,938,933,463,4903,1403,226,955,101,1,0
146,3271,10,20,515,140,125,171,179,188,542,933,969,5188,1688,193,1000,0,1,0
147,3291,10,20,445,137,95,200,158,114,598,923,872,5317,1817,143,1000,0,1,0
148,3311,10,20,455,182,143,124,140,154,943,928,302,4740,1240,15,1000,0,1,0
149,3331,10,20,465,146,119,137,112,178,941,938,92,4579,1079,-42,1000,0,1,0
150,3352,10,20,475,155,113,142,125,986,949,239,106,4133,633,-88,1000,0,1,0
151,3372,10,20,485,113,134,140,601,966,864,56,92,3690,190,-141,842,128,1,0
152,3392,10,20,495,152,101,197,938,979,117,25,68,3144,-356,-188,539,368,1,0
153,3412,10,20,505,101,104,942,966,195,103,30,61,2563,-937,-222,238,608,1,0
154,3442,10,20,520,134,901,968,373,138,112,5,75,1929,-1571,-221,71,968,1,0
155,3462,10,20,490,137,904,953,386,107,141,51,103,2131,-1369,-140,0,1000,1,0
156,3482,10,20,500,206,474,989,930,218,132,56,171,2554,-946,-33,0,1000,1,0
157,3502,10,20,510,143,107,948,994,161,85,35,79,2392,-1108,0,46,974,1,0
158,3522,10,20,520,155,128,348,964,969,120,51,96,3052,-448,75,117,923,1,0
159,3542,10,20,530,149,113,135,795,996,769,56,92,3583,83,141,276,768,1,0
160,3571,10,20,545,179,161,200,191,501,973,948,151,4463,963,220,636,324,1,0
161,3592,10,20,515,107,101,145,97,161,893,959,927,5388,1888,291,876,66,1,0
162,3612,10,20,445,149,104,189,130,144,227,933,989,5271,1771,231,1000,0,1,0
163,3642,10,20,430,143,107,137,138,124,185,933,969,5335,1835,116,1000,0,1,0
164,3662,10,20,430,122,86,135,130,171,221,943,989,5544,2044,94,1000,0,1,0
165,3691,10,20,440,152,119,135,132,144,651,964,986,5270,1770,26,1000,0,1,0
166,3712,10,20,450,107,110,155,168,198,1000,933,666,5087,1587,-13,992,0,1,0
167,3732,10,20,460,143,125,124,117,218,991,959,182,4749,1249,-64,989,0,1,0
168,3752,10,20,470,149,113,129,140,872,1000,857,89,4423,923,-92,993,0,1,0
169,3781,10,20,485,137,137,207,306,996,991,107,127,3969,469,-133,935,35,1,0
170,3802,10,20,495,125,68,124,994,969,256,51,65,3397,-103,-171,713,240,1,0
171,3832,10,20,510,140,110,971,971,383,109,56,65,2623,-877,-217,295,600,1,0
172,3852,10,20,520,116,128,968,989,175,123,40,48,2539,-961,-184,130,840,1,0
173,3881,10,20,535,134,125,953,953,208,115,40,20,2530,-970,-105,51,1000,1,0
174,3901,10,20,545,98,44,470,959,956,109,61,10,3282,-218,23,98,992,1,0
175,3922,10,20,555,128,77,140,751,993,961,66,37,3804,304,116,326,743,1,0
176,3942,10,20,565,74,116,142,112,787,949,948,75,4687,1187,221,566,387,1,0
177,3971,10,20,460,77,83,148,127,175,212,979,941,5769,2269,314,1000,0,1,0
178,3992,10,20,390,89,68,155,109,121,91,739,986,5903,2403,239,1000,0,1,0
179,4013,10,20,395,110,113,142,138,168,112,239,969,5153,1653,114,1000,0,1,0
180,4033,10,20,405,155,71,142,117,67,32,188,934,5404,1904,65,1000,0,1,0
181,4063,10,20,420,140,77,106,102,121,103,239,948,5450,1950,23,978,0,1,0
182,4083,10,20,430,131,98,114,89,134,123,551,975,5675,2175,66,1000,0,1,0
183,4103,10,20,430,92,92,83,94,101,73,862,955,6392,2892,119,1000,0,1,0
184,4132,10,20,430,41,44,67,63,67,135,938,941,6400,2900,106,1000,0,1,0
185,4153,10,20,430,56,104,98,63,87,743,933,903,5865,2365,2,1000,0,1,0
186,4173,10,20,430,71,59,80,107,124,946,918,319,5504,2004,-72,1000,0,1,0
187,4193,10,20,430,83,53,109,74,690,943,918,27,4962,1462,-143,1000,0,1,0
188,4222,10,20,445,65,62,135,283,969,911,40,0,4155,655,-208,1000,0,1,0
189,4243,10,20,455,143,56,114,989,976,292,0,0,3404,-96,-255,751,120,1,0
190,4263,10,20,465,74,23,677,1000,912,135,0,17,3185,-315,-231,483,360,1,0
