pc_time,sender,type,loop,drive,speed_state,target,current,compute_ms,max_ms,overrun,error,filtered_error,filtered_rate,confidence,active,wide,curve,kp,kd,p,d,steering,scale,left,right,finished,mode,control_ms,loops,average_compute_ms,max_compute_ms,overrun_count,overrun_rate,line_lost_entry,telemetry_sent,telemetry_skip,debug_skip,network_slow,raw_message
2026-07-09 09:52:32.298,192.168.0.50:51627,boot,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,"type=boot,telemetry_ok=True,control_ms=10,max_speed=580,kp_straight=0.200,kd_straight=0.650"
2026-07-09 09:52:37.653,192.168.0.50:51627,start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,type=start
2026-07-09 09:52:38.601,192.168.0.50:51627,status,99,0,FAST,580,580,20,20,1,6,3.2,-1.6,0.48,2,False,0.003,0.200,0.650,0.0,0.0,0,1.000,580,580,,,,,,,,,,,,,,"type=status,loop=99,drive=0,speed_state=FAST,target=580,current=580,compute_ms=20,max_ms=20,overrun=1,error=6,filtered_error=3.2,filtered_rate=-1.6,confidence=0.48,active=2,wide=False,curve=0.003,kp=0.200,kd=0.650,p=0.0,d=0.0,steering=0,scale=1.000,left=580,right=580"
2026-07-09 09:52:39.673,192.168.0.50:51627,status,198,0,FAST,580,465,20,20,2,180,-7.2,64.3,0.68,2,False,0.063,0.200,0.650,0.0,41.8,-9,1.000,456,474,,,,,,,,,,,,,,"type=status,loop=198,drive=0,speed_state=FAST,target=580,current=465,compute_ms=20,max_ms=20,overrun=2,error=180,filtered_error=-7.2,filtered_rate=64.3,confidence=0.68,active=2,wide=False,curve=0.063,kp=0.200,kd=0.650,p=0.0,d=41.8,steering=-9,scale=1.000,left=456,right=474"
2026-07-09 09:52:40.670,192.168.0.50:51627,status,297,0,FAST,580,580,21,21,3,41,14.4,1.5,0.68,2,False,0.007,0.200,0.650,0.0,0.0,0,1.000,580,580,,,,,,,,,,,,,,"type=status,loop=297,drive=0,speed_state=FAST,target=580,current=580,compute_ms=21,max_ms=21,overrun=3,error=41,filtered_error=14.4,filtered_rate=1.5,confidence=0.68,active=2,wide=False,curve=0.007,kp=0.200,kd=0.650,p=0.0,d=0.0,steering=0,scale=1.000,left=580,right=580"
2026-07-09 09:52:42.631,192.168.0.50:51627,status,495,0,SHARP,290,380,21,21,5,1602,1372.4,85.4,0.77,3,False,0.454,0.320,0.450,407.2,38.4,317,1.000,697,90,,,,,,,,,,,,,,"type=status,loop=495,drive=0,speed_state=SHARP,target=290,current=380,compute_ms=21,max_ms=21,overrun=5,error=1602,filtered_error=1372.4,filtered_rate=85.4,confidence=0.77,active=3,wide=False,curve=0.454,kp=0.320,kd=0.450,p=407.2,d=38.4,steering=317,scale=1.000,left=697,right=90"
2026-07-09 09:52:43.690,192.168.0.50:51627,status,594,0,FAST,580,525,20,21,7,-132,-219.2,-20.1,0.71,3,False,0.084,0.200,0.650,-23.8,-13.1,-50,1.000,475,575,,,,,,,,,,,,,,"type=status,loop=594,drive=0,speed_state=FAST,target=580,current=525,compute_ms=20,max_ms=21,overrun=7,error=-132,filtered_error=-219.2,filtered_rate=-20.1,confidence=0.71,active=3,wide=False,curve=0.084,kp=0.200,kd=0.650,p=-23.8,d=-13.1,steering=-50,scale=1.000,left=475,right=575"
2026-07-09 09:52:44.671,192.168.0.50:51627,status,693,0,SHARP,290,290,20,21,8,-2415,-2362.9,-63.6,0.64,2,False,0.655,0.320,0.450,-724.1,-28.6,-467,1.000,90,757,,,,,,,,,,,,,,"type=status,loop=693,drive=0,speed_state=SHARP,target=290,current=290,compute_ms=20,max_ms=21,overrun=8,error=-2415,filtered_error=-2362.9,filtered_rate=-63.6,confidence=0.64,active=2,wide=False,curve=0.655,kp=0.320,kd=0.450,p=-724.1,d=-28.6,steering=-467,scale=1.000,left=90,right=757"
2026-07-09 09:52:46.279,192.168.0.50:51627,status,792,0,FAST,580,580,20,21,9,0,36.8,8.7,0.52,2,False,0.021,0.200,0.650,0.0,0.0,0,1.000,580,580,,,,,,,,,,,,,,"type=status,loop=792,drive=0,speed_state=FAST,target=580,current=580,compute_ms=20,max_ms=21,overrun=9,error=0,filtered_error=36.8,filtered_rate=8.7,confidence=0.52,active=2,wide=False,curve=0.021,kp=0.200,kd=0.650,p=0.0,d=0.0,steering=0,scale=1.000,left=580,right=580"
2026-07-09 09:52:46.741,192.168.0.50:51627,status,891,0,FAST,580,580,22,22,10,0,2.5,-3.5,0.51,2,False,0.004,0.200,0.650,0.0,0.0,0,1.000,580,580,,,,,,,,,,,,,,"type=status,loop=891,drive=0,speed_state=FAST,target=580,current=580,compute_ms=22,max_ms=22,overrun=10,error=0,filtered_error=2.5,filtered_rate=-3.5,confidence=0.51,active=2,wide=False,curve=0.004,kp=0.200,kd=0.650,p=0.0,d=0.0,steering=0,scale=1.000,left=580,right=580"
2026-07-09 09:52:50.635,192.168.0.50:51627,status,1287,0,FAST,580,580,21,22,15,-81,-35.4,-2.7,0.54,2,False,0.015,0.200,0.650,0.0,0.0,0,1.000,580,580,,,,,,,,,,,,,,"type=status,loop=1287,drive=0,speed_state=FAST,target=580,current=580,compute_ms=21,max_ms=22,overrun=15,error=-81,filtered_error=-35.4,filtered_rate=-2.7,confidence=0.54,active=2,wide=False,curve=0.015,kp=0.200,kd=0.650,p=0.0,d=0.0,steering=0,scale=1.000,left=580,right=580"
2026-07-09 09:52:51.695,192.168.0.50:51627,status,1386,0,FAST,580,580,21,22,16,113,119.7,13.7,0.52,2,False,0.046,0.200,0.650,3.9,0.0,10,1.000,590,570,,,,,,,,,,,,,,"type=status,loop=1386,drive=0,speed_state=FAST,target=580,current=580,compute_ms=21,max_ms=22,overrun=16,error=113,filtered_error=119.7,filtered_rate=13.7,confidence=0.52,active=2,wide=False,curve=0.046,kp=0.200,kd=0.650,p=3.9,d=0.0,steering=10,scale=1.000,left=590,right=570"
2026-07-09 09:52:52.709,192.168.0.50:51627,status,1485,0,FAST,580,580,20,22,17,316,257.5,8.9,0.58,2,False,0.081,0.200,0.650,31.5,5.8,27,1.000,607,553,,,,,,,,,,,,,,"type=status,loop=1485,drive=0,speed_state=FAST,target=580,current=580,compute_ms=20,max_ms=22,overrun=17,error=316,filtered_error=257.5,filtered_rate=8.9,confidence=0.58,active=2,wide=False,curve=0.081,kp=0.200,kd=0.650,p=31.5,d=5.8,steering=27,scale=1.000,left=607,right=553"
2026-07-09 09:52:53.742,192.168.0.50:51627,status,1584,0,FAST,580,580,21,22,18,-19,-16.3,-1.0,0.57,2,False,0.005,0.200,0.650,0.0,0.0,0,1.000,580,580,,,,,,,,,,,,,,"type=status,loop=1584,drive=0,speed_state=FAST,target=580,current=580,compute_ms=21,max_ms=22,overrun=18,error=-19,filtered_error=-16.3,filtered_rate=-1.0,confidence=0.57,active=2,wide=False,curve=0.005,kp=0.200,kd=0.650,p=0.0,d=0.0,steering=0,scale=1.000,left=580,right=580"
2026-07-09 09:52:54.748,192.168.0.50:51627,status,1683,0,FAST,580,580,22,22,19,-132,-152.3,-4.0,0.57,2,False,0.047,0.200,0.650,-10.5,-2.6,-13,1.000,567,593,,,,,,,,,,,,,,"type=status,loop=1683,drive=0,speed_state=FAST,target=580,current=580,compute_ms=22,max_ms=22,overrun=19,error=-132,filtered_error=-152.3,filtered_rate=-4.0,confidence=0.57,active=2,wide=False,curve=0.047,kp=0.200,kd=0.650,p=-10.5,d=-2.6,steering=-13,scale=1.000,left=567,right=593"
2026-07-09 09:52:56.040,192.168.0.50:51627,status,1782,0,FAST,580,580,21,22,20,-122,-108.1,-12.9,0.55,2,False,0.040,0.200,0.650,-1.6,0.0,0,1.000,580,580,,,,,,,,,,,,,,"type=status,loop=1782,drive=0,speed_state=FAST,target=580,current=580,compute_ms=21,max_ms=22,overrun=20,error=-122,filtered_error=-108.1,filtered_rate=-12.9,confidence=0.55,active=2,wide=False,curve=0.040,kp=0.200,kd=0.650,p=-1.6,d=0.0,steering=0,scale=1.000,left=580,right=580"
2026-07-09 09:52:58.844,192.168.0.50:51627,status,2079,0,CURVE,430,430,21,28,23,-1005,-932.2,-105.3,0.49,2,False,0.346,0.260,0.600,-216.4,-63.2,-212,1.000,218,642,,,,,,,,,,,,,,"type=status,loop=2079,drive=0,speed_state=CURVE,target=430,current=430,compute_ms=21,max_ms=28,overrun=23,error=-1005,filtered_error=-932.2,filtered_rate=-105.3,confidence=0.49,active=2,wide=False,curve=0.346,kp=0.260,kd=0.600,p=-216.4,d=-63.2,steering=-212,scale=1.000,left=218,right=642"
2026-07-09 09:52:59.818,192.168.0.50:51627,status,2178,0,CURVE,430,430,20,28,24,-1258,-1199.3,-71.4,0.89,3,False,0.389,0.260,0.600,-285.8,-42.9,-270,1.000,160,700,,,,,,,,,,,,,,"type=status,loop=2178,drive=0,speed_state=CURVE,target=430,current=430,compute_ms=20,max_ms=28,overrun=24,error=-1258,filtered_error=-1199.3,filtered_rate=-71.4,confidence=0.89,active=3,wide=False,curve=0.389,kp=0.260,kd=0.600,p=-285.8,d=-42.9,steering=-270,scale=1.000,left=160,right=700"
2026-07-09 09:53:02.813,192.168.0.50:51627,status,2475,0,FAST,580,375,21,28,27,-34,-44.8,46.1,0.60,2,False,0.054,0.200,0.650,0.0,29.9,20,1.000,395,355,,,,,,,,,,,,,,"type=status,loop=2475,drive=0,speed_state=FAST,target=580,current=375,compute_ms=21,max_ms=28,overrun=27,error=-34,filtered_error=-44.8,filtered_rate=46.1,confidence=0.60,active=2,wide=False,curve=0.054,kp=0.200,kd=0.650,p=0.0,d=29.9,steering=20,scale=1.000,left=395,right=355"
2026-07-09 09:53:03.793,192.168.0.50:51627,status,2574,0,FAST,580,415,22,28,29,-424,-395.7,-24.5,0.71,3,False,0.128,0.200,0.650,-59.1,-15.9,-40,1.000,375,455,,,,,,,,,,,,,,"type=status,loop=2574,drive=0,speed_state=FAST,target=580,current=415,compute_ms=22,max_ms=28,overrun=29,error=-424,filtered_error=-395.7,filtered_rate=-24.5,confidence=0.71,active=3,wide=False,curve=0.128,kp=0.200,kd=0.650,p=-59.1,d=-15.9,steering=-40,scale=1.000,left=375,right=455"
