seq,t_ms,control_ms,send_ms,current_speed,n0,n1,n2,n3,n4,n5,n6,n7,position,error,d_error,left_cmd,right_cmd,on_line,is_marker
0,22,10,20,495,937,953,937,937,943,932,949,921,3490,-10,0,495,495,1,1
1,42,10,20,545,956,975,959,968,985,978,919,928,3473,-27,-3,545,545,1,1
2,62,10,20,595,912,963,940,919,919,947,919,921,3490,-10,-1,595,595,1,1
3,82,10,20,645,928,941,929,932,908,923,924,931,3492,-8,0,645,645,1,1
5,122,10,20,745,53,52,57,888,950,375,50,10,3768,268,32,774,716,1,0
6,142,10,20,795,81,79,95,896,954,363,85,44,3759,259,27,827,763,1,0
7,162,10,20,845,87,33,73,927,936,236,0,27,3670,170,8,865,825,1,0
8,182,10,20,895,62,61,87,971,933,175,10,0,3617,117,-4,904,886,1,0
10,222,10,20,995,87,122,98,950,971,169,20,0,3481,-19,-23,990,1000,1,0
11,242,10,20,1000,34,27,108,945,933,138,0,6,3518,18,-10,998,1000,1,0
12,262,10,20,1000,96,70,125,950,996,132,40,17,3515,15,-4,1000,1000,1,0
13,282,10,20,1000,31,67,59,922,954,64,25,23,3508,8,-5,999,1000,1,0
14,302,10,20,1000,65,18,81,932,919,89,45,0,3496,-4,-5,999,1000,1,0
15,322,10,20,1000,87,67,95,961,943,64,20,61,3495,-5,-4,1000,1000,1,0
16,342,10,20,1000,78,46,130,953,926,92,10,0,3396,-104,-14,995,1000,1,0
17,362,10,20,1000,43,79,122,968,940,86,60,34,3402,-98,-11,994,1000,1,0
18,382,10,20,1000,46,107,100,989,943,73,15,23,3294,-206,-19,984,1000,1,0
19,402,10,20,1000,118,61,84,992,961,80,10,20,3293,-207,-15,985,1000,1,0
20,422,10,20,1000,106,101,125,976,968,116,10,10,3232,-268,-15,984,1000,1,0
21,442,10,20,1000,93,92,133,953,996,135,30,54,3511,11,3,997,1000,1,0
22,462,10,20,1000,25,55,65,919,964,80,20,0,3511,11,14,1000,997,1,0
23,482,10,20,1000,84,76,24,883,887,55,40,0,3501,1,9,1000,998,1,0
24,502,10,20,1000,43,67,10,891,901,101,10,61,3582,82,17,1000,997,1,0
30,622,10,20,850,46,0,59,684,954,735,0,0,4021,521,37,973,727,1,0
31,642,10,20,850,0,0,35,723,926,621,0,0,3955,455,20,932,768,1,0
36,742,10,20,460,862,972,959,865,66,36,30,6,1499,-2001,-243,80,933,1,0
37,762,10,20,460,915,920,910,72,38,12,30,17,998,-2502,-270,80,1000,1,0
38,782,10,20,460,937,923,585,28,59,0,0,0,856,-2644,-226,80,1000,1,0
39,802,10,20,460,893,911,179,18,28,0,20,27,639,-2861,-190,80,1000,1,0
40,822,10,20,460,925,886,79,0,38,15,0,0,489,-3011,-154,80,1000,1,0
41,842,10,20,460,912,595,65,56,0,12,10,0,394,-3106,-124,80,1000,1,0
42,862,10,20,460,931,500,79,31,52,21,10,0,349,-3151,-94,80,1000,1,0
43,882,10,20,460,937,631,98,31,28,18,10,34,402,-3098,-61,80,1000,1,0
44,902,10,20,460,912,886,46,31,24,0,0,3,492,-3008,-28,80,1000,1,0
45,922,10,20,460,953,957,136,28,38,15,15,6,600,-2900,-4,80,1000,1,0
46,942,10,20,460,937,947,468,62,28,9,15,20,800,-2700,24,80,1000,1,0
47,972,10,20,460,478,966,937,62,38,21,0,10,1192,-2308,68,80,997,1,0
48,992,10,20,485,71,883,945,772,35,0,30,0,1957,-1543,150,135,835,1,0
49,1016,10,20,510,25,79,937,945,192,27,70,13,2640,-860,214,309,711,1,0
50,1036,10,20,560,43,9,528,953,954,83,30,44,3174,-326,255,541,579,1,0
51,1056,10,20,610,53,70,119,919,950,120,40,71,3508,8,243,692,528,1,0
52,1076,10,20,660,59,88,79,917,961,240,0,17,3680,180,203,756,564,1,0
53,1096,10,20,710,56,64,87,925,950,209,0,44,3656,156,144,793,627,1,0
54,1116,10,20,760,43,24,68,891,950,83,0,0,3516,16,80,778,742,1,0
55,1136,10,20,810,100,61,185,914,943,116,35,47,3305,-195,27,811,809,1,0
56,1156,10,20,850,112,107,373,932,940,98,30,58,3006,-494,-26,787,913,1,0
57,1176,10,20,850,12,70,727,953,792,55,0,10,3026,-474,-26,778,922,1,0
59,1216,10,20,850,93,76,978,940,364,33,50,34,2730,-770,-53,668,1000,1,0
60,1236,10,20,700,65,61,961,956,354,61,10,34,2732,-768,-41,514,886,1,0
61,1256,10,20,700,75,73,926,932,326,46,25,0,2725,-775,-31,510,890,1,0
62,1276,10,20,750,65,64,844,968,610,95,40,75,2903,-597,3,613,887,1,0
63,1296,10,20,800,62,171,525,932,901,83,80,44,3013,-487,22,701,899,1,0
64,1316,10,20,850,59,52,158,966,964,80,75,105,3559,59,78,857,843,1,0
65,1336,10,20,850,143,70,122,1000,1000,120,95,136,3489,-11,72,866,834,1,0
66,1356,10,20,900,68,92,128,976,975,156,60,88,3518,18,50,911,889,1,0
67,1376,10,20,950,71,92,100,958,985,236,50,102,3741,241,57,974,926,1,0
68,1396,10,20,850,46,36,68,953,971,233,80,109,3826,326,57,888,812,1,0
69,1416,10,20,850,59,42,68,963,1000,304,55,112,3864,364,48,892,808,1,0
70,1436,10,20,850,93,92,136,948,989,387,65,112,3806,306,29,885,815,1,0
71,1456,10,20,875,90,98,106,961,985,390,75,98,3679,179,9,897,853,1,0
72,1476,10,20,850,65,73,98,932,961,298,65,133,3898,398,28,910,790,1,0
73,1496,10,20,875,115,101,51,974,968,276,70,102,3544,44,-14,882,868,1,0
74,1516,10,20,925,37,64,111,935,961,200,80,112,3732,232,-4,937,913,1,0
75,1536,10,20,850,56,61,92,994,975,166,65,136,3815,315,11,876,824,1,0
76,1556,10,20,900,53,55,119,984,1000,123,60,102,3659,159,-5,910,890,1,0
77,1577,10,20,950,81,128,141,974,971,101,65,98,3335,-165,-33,943,957,1,0
78,1606,10,20,1000,115,104,220,953,954,110,55,122,3344,-156,-32,987,1000,1,0
79,1626,10,20,1000,93,95,302,958,968,107,90,143,3585,85,1,1000,1000,1,0
80,1646,10,20,1000,87,52,405,945,950,95,55,92,3236,-264,-36,974,1000,1,0
81,1666,10,20,850,112,122,577,976,856,86,85,112,3053,-447,-51,782,918,1,0
82,1686,10,20,850,125,128,713,950,785,55,20,68,2793,-707,-72,698,1000,1,0
83,1706,10,20,850,146,128,852,943,603,89,35,51,2647,-853,-75,662,1000,1,0
84,1727,10,20,850,140,95,782,953,705,126,45,92,2909,-591,-34,705,995,1,0
85,1756,10,20,850,128,101,305,950,971,61,65,102,3190,-310,11,784,916,1,0
86,1776,10,20,850,125,113,130,945,978,107,50,75,3192,-308,30,827,873,1,0
87,1796,10,20,850,165,165,122,950,985,196,70,92,3166,-334,12,803,897,1,0
88,1816,10,20,875,168,144,147,873,1000,452,30,105,3479,-21,43,875,875,1,0
89,1836,10,20,925,187,144,141,640,982,870,25,51,3584,84,55,937,913,1,0
90,1856,10,20,975,140,134,125,279,947,981,40,51,3804,304,69,1000,938,1,0
91,1876,10,20,850,153,119,141,155,971,990,75,75,3835,335,57,891,809,1,0
92,1897,10,20,850,137,104,152,134,968,981,482,47,4218,718,90,1000,684,1,0
93,1926,10,20,460,165,122,111,113,305,960,949,153,4679,1179,121,850,165,1,0
94,1946,10,20,460,115,116,98,67,224,987,949,279,5091,1591,141,852,80,1,0
95,1966,10,20,460,93,92,106,69,171,993,919,515,5539,2039,151,930,80,1,0
96,1986,10,20,460,112,110,152,95,154,972,929,508,5114,1614,79,863,80,1,0
97,2016,10,20,460,175,110,114,108,182,1000,949,218,4765,1265,26,850,110,1,0
98,2036,10,20,460,143,122,122,129,543,993,949,150,4644,1144,-18,850,179,1,0
99,2056,10,20,460,125,110,166,175,1000,1000,502,81,4216,716,-64,850,268,1,0
100,2086,10,20,460,115,92,141,506,985,1000,85,47,3909,409,-103,850,401,1,0
101,2106,10,20,460,118,98,168,1000,1000,501,85,81,3531,31,-121,436,850,1,0
102,2126,10,20,460,103,88,158,987,1000,200,50,105,3529,29,-106,416,850,1,0
103,2146,10,20,460,68,85,141,984,982,236,90,133,3745,245,-46,460,460,1,0
104,2166,10,20,460,81,76,141,925,996,849,85,44,3877,377,-11,850,424,1,0
105,2186,10,20,485,87,113,95,260,1000,981,125,17,4254,754,44,614,356,1,0
106,2206,10,20,535,84,98,128,108,996,984,542,58,4617,1117,93,774,296,1,0
108,2246,10,20,635,96,82,133,124,922,969,959,109,4878,1378,87,955,315,1,0
109,2266,10,20,685,93,55,122,77,929,966,919,47,4871,1371,70,1000,358,1,0
110,2286,10,20,700,68,70,89,80,936,966,889,105,5056,1556,77,1000,325,1,0
111,2306,10,20,700,68,67,100,93,943,920,663,0,4779,1279,29,1000,376,1,0
112,2326,10,20,700,78,67,65,116,1000,916,351,0,4630,1130,-14,949,451,1,0
113,2346,10,20,700,56,88,73,134,943,907,206,0,4541,1041,-19,933,467,1,0
114,2367,10,20,700,40,101,57,118,926,864,155,0,4347,847,-36,894,506,1,0
115,2396,10,20,700,93,55,68,136,943,932,190,13,4534,1034,-7,917,483,1,0
116,2416,10,20,700,59,79,65,173,982,944,201,17,4510,1010,-4,919,481,1,0
