wall_time,seq,t_ms,control_ms,send_ms,base_speed,n0,n1,n2,n3,n4,n5,n6,n7,position,error,d_error,left_cmd,right_cmd,on_line,is_marker,packet_loss_count,bad_packet_count,last_packet_age_ms
2026-07-10T04:26:04.489,3,87,10,20,920,1000,743,857,1000,1000,1000,606,803,3383,-117,-8,857,983,1,1,0,0,0
2026-07-10T04:26:04.508,4,116,10,20,920,1000,788,882,1000,1000,1000,626,826,3382,-118,-3,857,983,1,1,0,0,0
2026-07-10T04:26:04.553,5,136,10,20,920,953,672,782,1000,1000,972,532,716,3365,-135,-6,848,992,1,1,0,0,0
2026-07-10T04:26:04.553,6,156,10,20,920,557,403,474,1000,1000,585,298,430,3386,-114,9,862,978,1,0,0,0,0
2026-07-10T04:26:04.597,7,176,10,20,920,9,18,0,918,862,79,14,26,3484,-16,117,939,901,1,0,0,0,0
2026-07-10T04:26:04.597,8,196,10,20,920,142,100,117,952,958,150,44,83,3212,-288,-274,702,1000,1,0,0,0,0
2026-07-10T04:26:04.608,9,216,10,20,920,157,76,58,963,907,156,49,60,3342,-158,-133,805,1000,1,0,0,0,0
2026-07-10T04:26:04.635,10,236,10,20,920,154,100,94,970,917,220,54,86,3294,-206,-87,790,1000,1,0,0,0,0
2026-07-10T04:26:04.654,11,257,10,20,920,139,107,120,947,955,466,114,43,3518,18,49,941,899,1,0,0,0,0
2026-07-10T04:26:04.693,12,286,10,20,920,86,128,81,751,969,656,89,26,3808,308,-30,1000,764,1,0,0,0,0
2026-07-10T04:26:04.703,13,306,10,20,920,58,24,55,817,945,524,44,10,3871,371,66,1000,708,1,0,0,0,0
2026-07-10T04:26:04.733,14,327,10,20,920,43,39,55,841,903,325,114,3,3868,368,56,1000,712,1,0,0,0,0
2026-07-10T04:26:04.748,15,356,10,20,920,34,51,36,886,879,55,24,3,3498,-2,-78,901,939,1,0,0,0,0
2026-07-10T04:26:04.779,16,376,10,20,920,114,79,131,947,910,79,74,80,3207,-293,-565,630,1000,1,0,0,0,0
2026-07-10T04:26:04.793,17,397,10,20,920,46,21,234,910,841,33,24,53,3305,-195,-69,801,1000,1,0,0,0,0
2026-07-10T04:26:04.829,18,426,10,20,920,18,9,469,881,701,0,24,13,3113,-387,-55,702,1000,1,0,0,0,0
2026-07-10T04:26:04.838,19,447,10,20,920,27,39,486,931,786,64,54,53,3136,-364,18,732,1000,1,0,0,0,0
2026-07-10T04:26:04.871,20,476,10,20,920,0,0,86,875,883,21,14,23,3502,2,173,962,878,1,0,0,0,0
2026-07-10T04:26:04.920,21,497,10,20,920,0,18,0,912,872,33,4,53,3488,-12,-16,910,930,1,0,0,0,0
2026-07-10T04:26:04.920,22,517,10,20,920,37,18,33,947,927,61,39,96,3494,-6,17,920,920,1,0,0,0,0
2026-07-10T04:26:04.930,23,538,10,20,920,126,97,122,978,1000,199,99,133,3559,59,66,967,873,1,0,0,0,0
2026-07-10T04:26:04.969,24,567,10,20,920,157,122,100,944,920,361,59,73,3317,-183,-136,791,1000,1,0,0,0,0
2026-07-10T04:26:04.979,25,588,10,20,920,105,110,106,810,927,585,109,113,3780,280,193,1000,726,1,0,0,0,0
2026-07-10T04:26:05.016,26,608,10,20,920,139,91,100,733,972,680,104,156,3953,453,119,1000,652,1,0,0,0,0
2026-07-10T04:26:05.025,27,628,10,20,920,92,85,58,786,965,588,119,123,4158,658,34,1000,564,1,0,0,0,0
2026-07-10T04:26:05.062,28,648,10,20,920,133,125,106,949,958,177,49,103,3379,-121,-177,814,1000,1,0,0,0,0
2026-07-10T04:26:05.143,30,689,10,20,920,126,162,963,931,340,64,64,116,2673,-827,-471,369,1000,1,0,1,0,0
2026-07-10T04:26:05.143,31,718,10,20,810,956,972,972,514,134,70,59,140,1619,-1881,-192,-120,1000,1,0,1,0,0
