wall_time,event,cmd_seq,cmd_type,cmd_type_name,cmd_status,cmd_status_name,ack_rtt_ms,pc_from_section_id,pc_from_label,pc_from_profile_key,pc_to_section_id,pc_to_label,pc_to_profile_key,pc_section_id_after,pico_actual_section_id,pico_active_profile_id,pico_active_profile_key,pico_last_cmd_seq,pico_last_cmd_type,pico_last_cmd_status,t_ms,seq,base_speed,position,error,d_error,left_cmd,right_cmd,on_line,is_marker,packet_loss_count,bad_packet_count,profile_set,profile_version,profile_source_key,profile_label_ko,profile_base_speed,profile_curve_speed,profile_sharp_curve_speed,profile_min_run_speed,profile_kp,profile_kd,profile_max_correction,profile_reverse_allow,profile_reverse_pwm_mid,profile_reverse_pwm_high,profile_error_curve_threshold,profile_error_sharp_threshold,profile_d_error_curve_threshold,profile_d_error_sharp_threshold,profile_search_pwm,profile_line_loss_max_ms
2026-07-10T06:18:50.753,NEXT_SECTION,1,5,NEXT_SECTION,0,OK,40,0,시작구간,WIDE_S,1,긴 직진 구간,STRAIGHT,1,0,2,WIDE_S,0,0,0,3524,134,950,1527,-1973,-583,0,1000,1,0,0,0,FAST_V5,6,WIDE_S,넓은 S자,1000,980,880,600,0.53,0.2,900,True,0,-120,1900,3200,1450,2400,280,240
2026-07-10T06:18:57.478,NEXT_SECTION,2,5,NEXT_SECTION,0,OK,46,1,긴 직진 구간,STRAIGHT,2,짧은 S자,NARROW_S,2,1,1,STRAIGHT,1,5,0,10248,399,1000,3092,-408,41,784,1000,1,0,10,0,FAST_V5,6,STRAIGHT,직진,1000,1000,940,600,0.55,0.2,900,False,0,0,2000,3200,1500,2400,260,220
2026-07-10T06:19:01.035,NEXT_SECTION,3,5,NEXT_SECTION,0,OK,42,2,짧은 S자,NARROW_S,3,짧은 직진,STRAIGHT,3,2,3,NARROW_S,2,5,0,13839,544,1000,2770,-730,402,688,1000,1,0,15,0,FAST_V5,6,NARROW_S,좁은 S자,1000,920,780,560,0.56,0.24,1050,True,-120,-260,1450,2500,1000,1800,300,280
2026-07-10T06:19:02.992,NEXT_SECTION,4,5,NEXT_SECTION,0,OK,133,3,짧은 직진,STRAIGHT,4,넓은 S자,WIDE_S,4,3,1,STRAIGHT,3,5,0,15625,614,1000,2113,-1387,-252,187,1000,1,0,16,0,FAST_V5,6,STRAIGHT,직진,1000,1000,940,600,0.55,0.2,900,False,0,0,2000,3200,1500,2400,260,220
2026-07-10T06:19:11.583,NEXT_SECTION,5,5,NEXT_SECTION,0,OK,38,4,넓은 S자,WIDE_S,5,좁은 S자,NARROW_S,5,4,2,WIDE_S,4,5,0,24378,971,1000,3801,301,33,1000,828,1,0,27,0,FAST_V5,6,WIDE_S,넓은 S자,1000,980,880,600,0.53,0.2,900,True,0,-120,1900,3200,1450,2400,280,240
2026-07-10T06:19:20.823,NEXT_SECTION,6,5,NEXT_SECTION,0,OK,44,5,좁은 S자,NARROW_S,6,헤어핀 진입+헤어핀,HAIRPIN_U,6,5,3,NARROW_S,5,5,0,33621,1349,920,1815,-1685,466,89,1000,1,0,41,0,FAST_V5,6,NARROW_S,좁은 S자,1000,920,780,560,0.56,0.24,1050,True,-120,-260,1450,2500,1000,1800,300,280
2026-07-10T06:19:22.279,NEXT_SECTION,7,5,NEXT_SECTION,0,OK,38,6,헤어핀 진입+헤어핀,HAIRPIN_U,7,중간 직진구간,STRAIGHT,7,6,4,HAIRPIN_U,6,5,0,35075,1409,1000,3931,431,11,1000,761,1,0,44,0,FAST_V5,6,HAIRPIN_U,헤어핀,1000,930,820,560,0.55,0.22,1000,True,-80,-240,1600,2800,1150,2000,320,320
2026-07-10T06:19:27.253,NEXT_SECTION,8,5,NEXT_SECTION,0,OK,78,7,중간 직진구간,STRAIGHT,8,완만한 U턴,WIDE_U,8,7,1,STRAIGHT,7,5,0,39979,1605,1000,3406,-94,-166,916,1000,1,0,49,0,FAST_V5,6,STRAIGHT,직진,1000,1000,940,600,0.55,0.2,900,False,0,0,2000,3200,1500,2400,260,220
2026-07-10T06:19:28.538,NEXT_SECTION,9,5,NEXT_SECTION,0,OK,27,8,완만한 U턴,WIDE_U,9,짧은 직진,STRAIGHT,9,8,5,WIDE_U,8,5,0,41243,1655,930,3315,-185,-15,823,1000,1,0,50,0,FAST_V5,6,WIDE_U,완만한 U턴,950,860,720,530,0.56,0.24,1050,True,-120,-260,1350,2300,950,1700,290,260
2026-07-10T06:19:32.306,NEXT_SECTION,10,5,NEXT_SECTION,0,OK,57,9,짧은 직진,STRAIGHT,10,좁은 S자 절반,NARROW_S,10,9,1,STRAIGHT,9,5,0,45081,1808,1000,3579,79,-18,1000,961,1,0,55,0,FAST_V5,6,STRAIGHT,직진,1000,1000,940,600,0.55,0.2,900,False,0,0,2000,3200,1500,2400,260,220
2026-07-10T06:19:33.981,NEXT_SECTION,11,5,NEXT_SECTION,0,OK,78,10,좁은 S자 절반,NARROW_S,11,Finish 전 짧은 직진,STRAIGHT,11,10,3,NARROW_S,10,5,0,46724,1875,920,1629,-1871,346,-44,1000,1,0,57,0,FAST_V5,6,NARROW_S,좁은 S자,1000,920,780,560,0.56,0.24,1050,True,-120,-260,1450,2500,1000,1800,300,280
