seq,t_ms,control_ms,send_ms,base_speed,n0,n1,n2,n3,n4,n5,n6,n7,position,error,d_error,left_cmd,right_cmd,on_line,is_marker
0,20,10,20,740,956,964,947,971,963,981,981,971,3518,18,18,747,733,1,1
1,43,10,20,740,998,986,989,1000,1000,1000,1000,995,3505,5,-24,738,742,1,1
2,63,10,20,740,1000,1000,1000,1000,1000,1000,1000,1000,3500,0,0,740,740,1,1
3,83,10,20,740,795,765,855,1000,1000,947,940,968,3662,162,162,803,677,1,1
4,103,10,20,740,23,39,68,953,952,115,94,95,3585,85,-332,703,777,1,0
5,123,10,20,740,43,55,81,977,966,69,61,53,3497,-3,-11,738,742,1,0
6,143,10,20,740,70,61,74,958,994,82,66,37,3509,9,7,743,737,1,0
7,163,10,20,740,57,39,79,936,977,63,54,42,3510,10,5,743,737,1,0
8,183,10,20,740,96,35,86,947,979,42,49,100,3680,180,379,844,636,1,0
9,203,10,20,740,27,29,67,937,955,65,52,77,3504,4,6,741,739,1,0
10,224,10,20,740,23,22,58,955,961,92,61,64,3501,1,2,740,740,1,0
11,244,10,20,740,51,29,65,933,955,101,82,71,3581,81,76,770,710,1,0
12,264,10,20,740,35,32,68,920,972,73,33,33,3513,13,9,744,736,1,0
13,284,10,20,740,37,42,74,945,950,77,61,51,3501,1,-8,739,741,1,0
14,304,10,20,740,37,68,91,933,961,84,63,57,3507,7,-8,740,740,1,0
15,324,10,20,740,61,74,88,947,946,80,56,60,3499,-1,-3,740,740,1,0
16,344,10,20,740,21,48,61,926,932,82,61,37,3501,1,-4,740,740,1,0
17,364,10,20,740,41,39,72,939,955,86,56,40,3504,4,-3,740,740,1,0
18,384,10,20,740,61,42,81,926,948,73,45,26,3505,5,0,741,739,1,0
19,404,10,20,740,39,55,72,915,932,54,45,24,3504,4,5,741,739,1,0
20,424,10,20,740,21,55,107,917,930,82,37,22,3421,-79,-81,709,771,1,0
21,444,10,20,740,33,61,384,941,875,50,63,20,3223,-277,-121,659,821,1,0
22,464,10,20,740,35,84,809,931,627,50,40,33,2923,-577,-154,587,893,1,0
23,484,10,20,740,39,91,938,947,264,56,56,37,2686,-814,-117,542,938,1,0
24,504,10,20,740,29,55,929,929,104,46,47,64,2579,-921,-22,534,946,1,0
25,524,10,20,740,49,149,971,966,82,29,49,35,2391,-1109,-101,479,1000,1,0
26,544,10,20,740,66,214,971,937,60,44,42,77,2340,-1160,-33,480,1000,1,0
27,564,10,20,740,53,241,973,941,80,52,87,66,2324,-1176,-9,480,1000,1,0
28,584,10,20,740,62,179,961,941,99,29,56,64,2366,-1134,26,495,985,1,0
29,614,10,20,740,53,94,952,949,104,42,56,46,2577,-923,84,552,928,1,0
30,634,10,20,740,47,127,961,958,154,77,85,86,2517,-983,5,525,955,1,0
31,654,10,20,740,35,133,950,963,181,84,94,75,2535,-965,-68,517,963,1,0
32,674,10,20,740,62,94,961,955,159,69,66,46,2613,-887,92,561,919,1,0
33,694,10,20,740,78,91,952,950,170,58,66,55,2622,-878,95,563,917,1,0
34,714,10,20,740,59,130,947,976,185,54,90,73,2543,-957,-73,518,962,1,0
35,735,10,20,740,55,94,964,958,157,54,90,75,2611,-889,78,558,922,1,0
36,755,10,20,740,92,117,968,966,163,65,68,64,2530,-970,31,532,948,1,0
37,775,10,20,740,139,302,1000,993,122,88,73,62,2257,-1243,-102,450,1000,1,0
38,795,10,20,740,62,293,978,969,117,67,94,84,2386,-1114,-149,470,1000,1,0
39,815,10,20,740,96,397,978,964,99,56,56,77,2242,-1258,-185,432,1000,1,0
40,835,10,20,740,100,423,982,982,89,54,78,71,2144,-1356,-250,400,1000,1,0
41,855,10,20,740,124,498,992,968,110,69,94,102,2340,-1160,219,523,957,1,0
42,875,10,20,740,80,358,973,980,86,27,63,126,2513,-987,276,570,910,1,0
43,895,10,20,740,76,322,989,963,110,50,82,131,2602,-898,105,561,919,1,0
44,924,10,20,740,90,276,982,964,113,37,90,62,2391,-1109,16,499,981,1,0
45,944,10,20,740,64,368,966,969,102,75,120,71,2508,-992,-45,515,965,1,0
46,964,10,20,740,149,543,1000,977,133,65,106,73,2284,-1216,-100,456,1000,1,0
47,984,10,20,740,94,557,961,974,95,42,92,84,2167,-1333,106,465,1000,1,0
48,1004,10,20,740,37,553,957,958,86,65,75,88,2164,-1336,-3,446,1000,1,0
49,1024,10,20,740,64,504,964,974,91,117,90,115,2522,-978,241,566,914,1,0
50,1044,10,20,740,100,296,966,949,78,44,82,84,2196,-1304,-72,441,1000,1,0
51,1064,10,20,740,29,195,925,953,29,14,35,40,2365,-1135,-131,469,1000,1,0
52,1084,10,20,740,7,182,947,964,89,58,61,82,2373,-1127,-8,491,989,1,0
53,1104,10,20,740,41,146,966,961,86,48,99,73,2393,-1107,-24,493,987,1,0
54,1124,10,20,740,15,114,945,945,91,35,49,48,2414,-1086,19,505,975,1,0
55,1144,10,20,740,53,104,954,953,111,31,68,53,2504,-996,35,527,953,1,0
56,1164,10,20,740,76,149,966,966,122,46,56,68,2481,-1019,76,529,951,1,0
57,1184,10,20,740,57,120,943,945,130,65,66,80,2507,-993,23,526,954,1,0
58,1204,10,20,740,55,130,938,955,108,69,85,86,2488,-1012,-181,487,993,1,0
59,1224,10,20,740,82,172,932,944,111,69,73,75,2460,-1040,-27,507,973,1,0
60,1244,10,20,740,70,175,929,926,148,98,87,97,2480,-1020,-2,516,964,1,0
61,1264,10,20,740,80,205,932,934,124,75,28,60,2445,-1055,84,523,957,1,0
62,1284,10,20,740,70,231,908,920,95,61,37,33,2334,-1166,123,505,975,1,0
63,1304,10,20,740,64,263,899,910,108,46,23,40,2395,-1105,66,509,971,1,0
64,1324,10,20,740,92,322,908,910,69,54,26,20,2274,-1226,-95,455,1000,1,0
65,1344,10,20,740,72,358,883,871,62,50,14,13,2242,-1258,-8,462,1000,1,0
66,1364,10,20,740,108,407,904,904,84,52,21,31,2120,-1380,-131,415,1000,1,0
67,1384,10,20,740,94,270,899,904,78,33,0,0,2305,-1195,43,485,995,1,0
68,1404,10,20,740,78,250,943,915,99,35,52,4,2315,-1185,-66,469,1000,1,0
69,1424,10,20,740,76,188,924,923,84,33,26,28,2361,-1139,8,491,989,1,0
70,1444,10,20,740,51,208,917,921,86,4,35,15,2348,-1152,-24,483,997,1,0
71,1464,10,20,740,25,143,947,941,95,0,30,0,2392,-1108,15,499,981,1,0
72,1484,10,20,740,39,130,948,936,95,27,56,40,2400,-1100,28,503,977,1,0
73,1504,10,20,740,53,140,941,961,89,0,56,11,2402,-1098,-97,482,998,1,0
74,1524,10,20,740,41,172,931,953,58,27,23,28,2379,-1121,-9,492,988,1,0
