seq,t_ms,control_ms,send_ms,base_speed,n0,n1,n2,n3,n4,n5,n6,n7,position,error,d_error,left_cmd,right_cmd,on_line,is_marker
0,22,10,20,740,960,961,965,950,948,961,941,952,3488,-12,-12,752,744,1,1
1,44,10,20,740,1000,992,997,1000,1000,992,980,1000,3495,-5,8,763,748,1,1
2,64,10,20,740,1000,1000,1000,1000,1000,1000,1000,1000,3500,0,0,764,748,1,1
3,84,10,20,740,886,717,723,1000,1000,718,508,586,3242,-258,-258,682,804,1,1
4,104,10,20,740,147,118,119,897,991,263,143,115,3576,76,55,774,719,1,0
5,124,10,20,740,140,118,123,921,984,281,126,117,3574,74,-224,736,749,1,0
6,144,10,20,740,150,99,100,920,993,279,123,115,3682,182,128,805,697,1,0
7,165,10,20,740,189,99,106,986,1000,208,140,104,3577,77,-33,761,731,1,0
8,185,10,20,740,129,80,91,931,969,154,98,109,3578,78,202,784,704,1,0
9,205,10,20,740,163,80,106,969,971,139,89,96,3278,-222,-199,680,790,1,0
10,225,10,20,740,115,68,117,969,974,124,81,54,3330,-170,-118,702,780,1,0
11,245,10,20,740,83,57,100,952,961,73,81,75,3427,-73,94,740,742,1,0
12,265,10,20,740,78,68,78,939,978,65,92,78,3510,10,100,753,725,1,0
13,285,10,20,740,92,95,51,960,989,76,70,73,3507,7,275,781,710,1,0
14,305,10,20,740,94,68,95,950,961,86,98,62,3502,2,255,776,714,1,0
15,326,10,20,740,106,91,95,958,959,78,89,62,3316,-184,-100,694,776,1,0
16,346,10,20,740,131,80,80,971,956,73,98,52,3273,-227,-32,697,774,1,0
17,366,10,20,740,99,80,93,950,948,53,112,70,3638,138,0,755,714,1,0
18,386,10,20,740,133,83,119,925,963,63,92,62,3207,-293,-131,668,791,1,0
19,406,10,20,740,110,64,95,954,963,53,89,57,3312,-188,-190,678,783,1,0
20,426,10,20,740,110,72,80,948,943,60,117,70,3455,-45,-46,720,744,1,0
21,446,10,20,740,115,80,91,950,954,63,109,75,3439,-61,-204,695,763,1,0
22,466,10,20,740,99,83,119,931,943,73,92,78,3413,-87,-95,706,759,1,0
23,486,10,20,740,120,80,85,925,971,60,84,75,3303,-197,-201,673,781,1,0
24,506,10,20,740,53,38,102,902,939,58,50,54,3430,-70,-66,712,753,1,0
25,526,10,20,740,48,15,89,914,924,32,75,44,3502,2,3,731,734,1,0
26,546,10,20,740,50,15,140,916,922,35,75,52,3395,-105,-7,713,756,1,0
27,566,10,20,740,30,0,112,939,922,32,67,28,3410,-90,29,724,753,1,0
28,586,10,20,740,0,0,91,868,890,5,50,15,3506,6,113,742,721,1,0
29,606,10,20,740,18,0,208,864,885,7,33,0,3345,-155,-42,694,769,1,0
30,626,10,20,740,55,0,295,897,900,12,44,36,3289,-211,6,693,782,1,0
31,646,10,20,740,48,0,234,897,868,48,33,0,3317,-183,41,707,770,1,0
32,666,10,20,740,62,3,146,914,907,22,33,26,3386,-114,69,721,750,1,0
33,686,10,20,740,25,15,82,897,892,17,70,10,3498,-2,108,743,723,1,0
34,706,10,20,740,96,53,74,906,935,40,101,36,3637,137,12,753,707,1,0
35,726,10,20,740,53,76,72,927,911,22,75,41,3495,-5,81,739,727,1,0
36,746,10,20,740,69,68,68,912,935,25,53,49,3506,6,-1,729,730,1,0
37,766,10,20,740,94,41,76,902,939,45,53,0,3510,10,14,736,728,1,0
38,787,10,20,740,53,64,70,940,913,48,22,41,3492,-8,184,758,721,1,0
39,807,10,20,740,43,45,40,885,933,83,50,20,3513,13,11,740,728,1,0
40,827,10,20,740,80,41,29,910,931,91,39,31,3505,5,0,738,729,1,0
41,847,10,20,740,36,0,78,889,939,27,28,28,3513,13,2,733,731,1,0
42,867,10,20,740,69,30,800,914,941,27,30,62,3053,-447,-215,628,886,1,0
43,887,10,20,740,50,419,944,906,467,17,44,54,2519,-981,-445,469,984,1,0
44,907,10,20,740,764,931,936,921,43,15,44,73,1567,-1933,-475,252,1000,1,0
45,927,10,20,740,946,950,957,380,2,0,28,75,1238,-2262,-370,168,1000,1,0
46,947,10,20,740,949,927,812,28,32,15,42,83,949,-2551,-299,112,1000,1,0
47,967,10,20,740,967,900,195,22,32,0,16,34,625,-2875,-176,79,993,1,0
48,987,10,20,740,928,541,85,34,49,25,33,57,368,-3132,-183,47,1000,1,0
49,1008,10,20,740,891,217,53,20,32,0,36,31,195,-3305,-173,22,1000,1,0
50,1028,10,20,740,923,164,59,15,43,7,42,31,150,-3350,9,42,1000,1,0
51,1048,10,20,740,944,229,85,34,49,43,28,78,195,-3305,35,55,1000,1,0
52,1068,10,20,740,969,721,91,30,45,0,28,52,426,-3074,132,94,986,1,0
53,1088,10,20,740,963,935,178,17,38,12,14,39,621,-2879,141,125,962,1,0
54,1108,10,20,740,942,950,565,87,43,32,53,83,846,-2654,160,169,969,1,0
55,1128,10,20,740,919,950,936,41,45,30,33,44,1006,-2494,35,176,987,1,0
56,1148,10,20,740,117,958,959,380,62,40,115,89,1860,-1640,576,437,909,1,0
57,1168,10,20,740,90,862,951,916,90,17,47,75,2019,-1481,170,442,987,1,0
58,1188,10,20,740,83,248,925,940,66,60,58,81,2327,-1173,184,505,940,1,0
59,1208,10,20,740,96,91,940,952,189,53,67,102,2842,-658,342,619,851,1,0
60,1228,10,20,740,60,76,919,897,403,32,30,49,2767,-733,69,582,893,1,0
61,1248,10,20,740,23,34,782,937,717,48,28,49,2973,-527,111,652,865,1,0
62,1268,10,20,740,76,64,514,946,879,55,47,60,3156,-344,94,689,817,1,0
63,1288,10,20,740,64,38,225,918,922,35,22,47,3337,-163,64,714,766,1,0
64,1308,10,20,740,62,61,151,935,948,30,28,65,3391,-109,-13,712,761,1,0
65,1328,10,20,740,55,38,110,931,922,0,11,31,3413,-87,16,716,750,1,0
66,1348,10,20,740,39,64,123,921,937,25,61,57,3410,-90,-2,716,753,1,0
67,1368,10,20,740,85,103,193,958,943,65,64,73,3247,-253,38,701,783,1,0
68,1388,10,20,740,96,83,129,944,961,86,73,73,3409,-91,0,724,755,1,0
69,1408,10,20,740,124,91,127,948,976,60,67,68,3219,-281,-191,664,800,1,0
70,1428,10,20,740,99,103,123,933,943,78,47,73,3292,-208,82,713,762,1,0
71,1448,10,20,740,115,95,108,937,963,45,50,49,3240,-260,160,715,761,1,0
72,1468,10,20,740,154,103,151,986,941,101,70,60,3133,-367,79,693,792,1,0
73,1488,10,20,740,131,87,97,963,915,68,64,26,3259,-241,207,727,754,1,0
74,1508,10,20,740,87,72,65,902,948,45,67,31,3512,12,413,793,690,1,0
75,1528,10,20,740,73,41,63,925,922,68,36,70,3499,-1,0,733,733,1,0
76,1548,10,20,740,69,64,51,939,928,58,39,41,3497,-3,1,734,735,1,0
77,1568,10,20,740,66,34,53,927,959,60,42,47,3508,8,10,739,732,1,0
78,1588,10,20,740,46,49,31,925,939,63,50,39,3503,3,-5,736,733,1,0
79,1608,10,20,740,80,49,36,927,918,32,42,15,3497,-3,-9,729,731,1,0
80,1628,10,20,740,103,91,48,942,935,48,36,44,3316,-184,-9,702,761,1,0
81,1648,10,20,740,80,76,57,925,965,32,61,62,3510,10,217,764,710,1,0
82,1668,10,20,740,80,87,87,939,915,65,56,57,3493,-7,1,732,737,1,0
83,1688,10,20,740,115,106,82,950,950,71,81,86,3185,-315,15,686,781,1,0
84,1708,10,20,740,113,106,97,986,965,98,95,81,3190,-310,131,711,777,1,0
85,1728,10,20,740,115,76,106,984,982,98,87,125,3445,-55,212,762,730,1,0
86,1748,10,20,740,87,106,91,958,984,106,61,96,3456,-44,-6,734,748,1,0
87,1768,10,20,740,92,103,121,923,980,205,75,104,3607,107,226,800,704,1,0
88,1788,10,20,740,136,91,117,883,978,332,67,81,3456,-44,-232,722,767,1,0
89,1808,10,20,740,115,68,76,895,961,256,61,70,3506,6,-205,726,753,1,0
90,1828,10,20,740,76,45,63,904,956,238,53,44,3682,182,166,808,694,1,0
91,1848,10,20,740,57,53,87,887,937,220,47,49,3673,173,-16,776,713,1,0
92,1868,10,20,740,87,68,63,927,965,220,47,39,3665,165,3,782,714,1,0
93,1888,10,20,740,78,72,91,916,963,167,56,73,3633,133,-1,767,718,1,0
94,1908,10,20,740,115,125,93,954,965,187,98,102,3470,-30,-145,722,758,1,0
95,1928,10,20,740,92,83,61,921,969,96,84,75,3512,12,-90,727,739,1,0
96,1949,10,20,740,87,133,80,931,941,91,75,73,3336,-164,39,715,756,1,0
97,1970,10,20,740,96,110,106,939,961,93,44,68,3300,-200,-17,704,771,1,0
98,1990,10,20,740,157,103,93,946,967,106,92,70,3220,-280,0,695,777,1,0
99,2011,10,20,740,108,99,87,933,989,60,81,86,3327,-173,107,723,751,1,0
100,2031,10,20,740,108,83,82,942,956,83,98,44,3315,-185,-38,703,767,1,0
101,2051,10,20,740,138,80,72,920,971,142,67,54,3387,-113,182,752,733,1,0
102,2071,10,20,740,127,95,80,908,946,175,58,49,3424,-76,56,741,739,1,0
103,2091,10,20,740,108,68,65,887,961,215,50,52,3491,-9,129,768,722,1,0
104,2111,10,20,740,108,53,46,893,952,215,11,18,3488,-12,17,753,733,1,0
105,2131,10,20,740,115,72,74,876,948,269,56,31,3516,16,-197,730,750,1,0
106,2151,10,20,740,124,87,104,841,937,413,92,44,3532,32,209,804,711,1,0
107,2171,10,20,740,168,190,142,752,974,675,162,125,3716,216,18,826,698,1,0
108,2191,10,20,740,127,114,93,487,978,857,87,31,3812,312,-260,813,688,1,0
109,2211,10,20,740,147,110,95,329,959,934,103,65,3958,458,44,874,618,1,0
110,2231,10,20,740,143,103,104,194,976,961,115,47,3964,464,-227,832,630,1,0
111,2251,10,20,740,152,103,110,133,959,969,134,75,3987,487,-127,844,609,1,0
112,2271,10,20,740,175,137,134,133,993,987,140,117,4037,537,-16,870,592,1,0
113,2291,10,20,740,60,49,61,40,943,954,117,81,4589,1089,1,951,495,1,0
114,2311,10,20,740,55,68,38,41,948,934,185,60,4630,1130,-2,956,486,1,0
115,2331,10,20,740,78,41,27,24,933,979,323,73,4727,1227,52,981,460,1,0
